,respid,hidsq01a,sq01,sq05b,hidsq03,sq08ax1_1,hq04a,sq04,sq10_1,sq10_2,sq10_3,sq10_4,sq10_5,sq10_6,sq10_7,sq10_8,sq10_9,sq10_10,sq10_11,sq10_12,sq10_13,sq10_14,sq10_15,sq10_16,sq10_17,sq10_18,sq10_19,sq10_20,sq10_21,sq10_22,sq10_66,sq10_23,sq10_24,sq10_25,sq10_26,sq10_27,sq10_28,sq10_29,sq10_30,sq10_31,sq10_32,sq10_33,sq10_34,sq10_35,sq10_36,sq10_37,sq10_38,sq10_39,sq10_40,sq10_41,sq10_42,sq10_43,sq10_44,sq10_45,sq10_46,sq10_47,sq10_48,sq10_49,sq10_50,sq10_51,sq10_52,sq10_53,sq10_54,sq10_55,sq10_56,sq10_57,sq10_58,sq10_59,sq10_60,sq10_61,sq10_62,sq10_63,sq10_64,sq10_65,K6b,sq08x1_1,sq08x1_2
17,128.0,3.0,2.0,6.0,3.0,60.0,1.0,2.0,1.0,2.0,4.0,2.0,1.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,3.0,4.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,4.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,5.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,4.0,4.0,2.0,3.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,8.0,10.0
18,151.0,1.0,1.0,4.0,3.0,20.0,4.0,2.0,3.0,4.0,5.0,4.0,3.0,5.0,2.0,3.0,2.0,4.0,5.0,3.0,2.0,4.0,4.0,3.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,3.0,3.0,4.0,2.0,4.0,2.0,5.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,1.0,5.0,5.0,5.0,3.0,5.0,4.0,3.0,1.0,2.0,2.0,3.0,4.0,3.0,2.0,4.0,4.0,3.0,4.0,4.0,3.0,2.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,15.0,8.0
19,156.0,3.0,2.0,3.0,2.0,11.0,3.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,11.0,11.0
20,157.0,3.0,2.0,1.0,3.0,22.0,3.0,1.0,3.0,3.0,1.0,4.0,2.0,2.0,2.0,3.0,4.0,2.0,4.0,3.0,4.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,5.0,3.0,1.0,2.0,3.0,4.0,1.0,1.0,2.0,4.0,2.0,5.0,3.0,3.0,2.0,2.0,2.0,2.0,4.0,4.0,1.0,2.0,1.0,1.0,2.0,4.0,4.0,1.0,1.0,4.0,1.0,1.0,3.0,2.0,3.0,3.0,2.0,4.0,1.0,1.0,3.0,1.0,2.0,4.0,4.0,2.0,3.0,12.0,10.0
21,166.0,1.0,2.0,6.0,3.0,50.0,1.0,2.0,2.0,3.0,4.0,4.0,2.0,5.0,3.0,2.0,3.0,4.0,2.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,4.0,3.0,2.0,4.0,1.0,3.0,4.0,2.0,3.0,3.0,3.0,4.0,3.0,4.0,1.0,1.0,2.0,4.0,3.0,4.0,1.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,2.0,1.0,1.0,1.0,5.0,5.0,2.0,3.0,3.0,4.0,3.0,2.0,2.0,3.0,4.0,4.0,2.0,2.0,20.0,30.0
22,169.0,3.0,1.0,5.0,2.0,35.0,3.0,1.0,1.0,1.0,4.0,1.0,1.0,5.0,1.0,5.0,1.0,2.0,1.0,4.0,1.0,1.0,4.0,2.0,1.0,1.0,3.0,3.0,2.0,1.0,2.0,3.0,5.0,3.0,2.0,2.0,2.0,4.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,5.0,1.0,1.0,3.0,2.0,4.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,3.0,1.0,3.0,4.0,4.0,1.0,4.0,1.0,5.0,1.0,4.0,1.0,1.0,3.0,1.0,1.0,5.0,4.0,4.0
23,170.0,3.0,2.0,3.0,4.0,24.0,5.0,1.0,3.0,2.0,4.0,2.0,3.0,3.0,2.0,1.0,2.0,4.0,3.0,1.0,1.0,3.0,2.0,2.0,4.0,1.0,4.0,4.0,4.0,5.0,1.0,2.0,1.0,3.0,4.0,1.0,4.0,3.0,2.0,4.0,2.0,2.0,2.0,3.0,2.0,4.0,4.0,2.0,1.0,3.0,4.0,3.0,3.0,3.0,2.0,1.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0,4.0,2.0,4.0,4.0,4.0,3.0,1.0,3.0,5.0,1.0,3.0,6.0,10.0,15.0
24,175.0,3.0,2.0,5.0,2.0,16.0,4.0,1.0,3.0,3.0,1.0,2.0,3.0,3.0,4.0,1.0,1.0,4.0,2.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,4.0,2.0,1.0,1.0,1.0,2.0,4.0,2.0,4.0,3.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,1.0,2.0,4.0,1.0,1.0,4.0,10.0,6.0
25,177.0,1.0,2.0,8.0,3.0,20.0,1.0,2.0,4.0,2.0,1.0,2.0,1.0,5.0,5.0,1.0,2.0,5.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,5.0,1.0,1.0,1.0,2.0,2.0,5.0,3.0,1.0,2.0,5.0,5.0,5.0,1.0,1.0,1.0,5.0,4.0,5.0,5.0,1.0,5.0,4.0,1.0,1.0,1.0,2.0,1.0,5.0,2.0,2.0,4.0,1.0,5.0,5.0,4.0,4.0,3.0,2.0,4.0,1.0,2.0,2.0,5.0,4.0,2.0,4.0,2.0,1.0,5.0,20.0,7.0
26,179.0,1.0,1.0,1.0,2.0,24.0,1.0,2.0,3.0,5.0,4.0,2.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,2.0,4.0,4.0,5.0,5.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,2.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,5.0,5.0,4.0,3.0,5.0,5.0,5.0,3.0,5.0,2.0,5.0,5.0,5.0,4.0,5.0,6.0,12.0,12.0
27,188.0,1.0,2.0,7.0,3.0,40.0,3.0,2.0,4.0,4.0,4.0,3.0,1.0,3.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,3.0,2.0,2.0,4.0,3.0,2.0,2.0,2.0,4.0,2.0,4.0,1.0,4.0,1.0,1.0,1.0,4.0,1.0,3.0,2.0,4.0,1.0,2.0,2.0,1.0,4.0,3.0,1.0,3.0,3.0,2.0,2.0,3.0,4.0,2.0,4.0,4.0,3.0,3.0,2.0,4.0,3.0,4.0,3.0,4.0,1.0,2.0,1.0,1.0,4.0,4.0,2.0,1.0,5.0,8.0,16.0
28,193.0,3.0,2.0,1.0,3.0,30.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,5.0,3.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,4.0,4.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,5.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,8.0,8.0
29,216.0,3.0,2.0,4.0,3.0,60.0,2.0,1.0,5.0,2.0,4.0,4.0,4.0,4.0,1.0,1.0,3.0,5.0,2.0,4.0,1.0,5.0,2.0,4.0,4.0,4.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,4.0,1.0,2.0,3.0,2.0,4.0,2.0,4.0,4.0,3.0,4.0,3.0,3.0,5.0,2.0,3.0,5.0,2.0,4.0,2.0,4.0,4.0,1.0,2.0,3.0,4.0,4.0,2.0,2.0,1.0,4.0,3.0,1.0,2.0,2.0,4.0,2.0,3.0,5.0,4.0,2.0,5.0,24.0,30.0
30,219.0,3.0,2.0,7.0,3.0,52.0,5.0,1.0,3.0,2.0,1.0,2.0,4.0,3.0,1.0,1.0,4.0,4.0,2.0,3.0,1.0,2.0,4.0,3.0,2.0,3.0,4.0,2.0,2.0,3.0,4.0,2.0,1.0,3.0,2.0,4.0,3.0,4.0,2.0,5.0,3.0,3.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,4.0,4.0,4.0,1.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,1.0,3.0,4.0,3.0,1.0,4.0,2.0,4.0,2.0,4.0,24.0,36.0
31,221.0,3.0,2.0,7.0,3.0,20.0,5.0,1.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,1.0,20.0,12.0
32,224.0,1.0,2.0,4.0,3.0,40.0,2.0,2.0,4.0,4.0,3.0,5.0,2.0,5.0,2.0,5.0,4.0,5.0,2.0,5.0,4.0,5.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,2.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,5.0,1.0,5.0,5.0,3.0,4.0,2.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,3.0,5.0,3.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,2.0,20.0,20.0
33,227.0,3.0,1.0,4.0,3.0,25.0,2.0,1.0,2.0,3.0,2.0,4.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,4.0,4.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,4.0,3.0,2.0,2.0,4.0,2.0,3.0,4.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,2.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,4.0,3.0,2.0,6.0,15.0,8.0
34,235.0,3.0,2.0,5.0,3.0,40.0,5.0,1.0,3.0,4.0,1.0,3.0,3.0,3.0,1.0,4.0,3.0,2.0,4.0,1.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,3.0,5.0,5.0,1.0,1.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,1.0,2.0,1.0,1.0,4.0,1.0,2.0,2.0,3.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,1.0,3.0,3.0,2.0,3.0,3.0,20.0,20.0
35,237.0,1.0,2.0,3.0,1.0,70.0,5.0,2.0,2.0,4.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,5.0,2.0,1.0,2.0,2.0,2.0,5.0,2.0,5.0,4.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,2.0,4.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,5.0,7.0,7.0
36,250.0,3.0,2.0,1.0,2.0,20.0,3.0,1.0,5.0,4.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,4.0,3.0,3.0,3.0,1.0,1.0,5.0,4.0,5.0,3.0,3.0,4.0,5.0,2.0,2.0,4.0,4.0,1.0,2.0,4.0,1.0,4.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,4.0,4.0,1.0,4.0,1.0,4.0,3.0,2.0,1.0,2.0,1.0,2.0,5.0,5.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,6.0,10.0
37,255.0,3.0,2.0,5.0,3.0,25.0,4.0,1.0,3.0,4.0,1.0,2.0,2.0,4.0,2.0,1.0,3.0,1.0,4.0,4.0,1.0,2.0,3.0,3.0,3.0,2.0,1.0,2.0,5.0,1.0,2.0,4.0,2.0,2.0,2.0,5.0,5.0,1.0,1.0,3.0,1.0,1.0,2.0,4.0,5.0,3.0,3.0,1.0,2.0,2.0,1.0,3.0,4.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,4.0,3.0,5.0,3.0,1.0,1.0,5.0,4.0,5.0,5.0,2.0,2.0,4.0,6.0,24.0,30.0
38,258.0,3.0,1.0,4.0,4.0,20.0,5.0,1.0,4.0,4.0,4.0,4.0,5.0,3.0,2.0,4.0,1.0,2.0,3.0,1.0,2.0,3.0,3.0,4.0,2.0,4.0,2.0,2.0,4.0,3.0,2.0,3.0,3.0,1.0,3.0,1.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,2.0,3.0,4.0,3.0,1.0,2.0,2.0,2.0,3.0,2.0,3.0,4.0,1.0,4.0,3.0,1.0,2.0,1.0,3.0,3.0,1.0,1.0,3.0,2.0,2.0,2.0,3.0,2.0,15.0,10.0
39,262.0,2.0,2.0,3.0,2.0,45.0,3.0,1.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,20.0,30.0
40,271.0,1.0,2.0,8.0,3.0,10.0,3.0,2.0,2.0,3.0,3.0,1.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,3.0,2.0,1.0,2.0,3.0,3.0,1.0,3.0,1.0,1.0,2.0,1.0,2.0,3.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,3.0,5.0,5.0
41,275.0,3.0,1.0,5.0,3.0,15.0,1.0,2.0,2.0,2.0,1.0,4.0,2.0,3.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,2.0,2.0,4.0,3.0,2.0
