,index,Review,Label
140,Very good customer service,Good customer service,
141,Fast quality service,Fast/Quick/Speedy/Timely,
142,Attendant was very professional,Professional,
143,"The staff was very attentive, but the prices are starting to become too high",Good customer service,
144,service was great and I was in and out very quickly,Good customer service,Fast/Quick/Speedy/Timely
145,It was great service overall!,Good customer service,
146,The staff was friendly and provided quick service,Friendly,Fast/Quick/Speedy/Timely
147,"The service was very good and the employees very kind, thoughtful and professional",Good customer service,Professional
148,"The manager was friendly, didn't try to push additional services",Friendly,
149,availability of parts and cost,Cost,Have equipment needed
150,Extremely friendly,Friendly,
151,Fast and efficient service,Good customer service,Fast/Quick/Speedy/Timely
152,Price check was competitive on some items,Fair price,
153,Everybody was super nice,Friendly,
154,The staff were efficient and thorough!,Good customer service,Knowledgeable employees
155,"Excellent, fast service!",Good customer service,
156,The ease of the experience,Convenient,
157,No high pitch sales,Professional,
158,I trust them as everyone seems to be well trained,Trustworthy,
159,they were extremely nice,Friendly,
160,I was told about needed services and preventative information as well,Knowledgeable employees,
161,Great customer service,Good customer service,
162,When my vehicle needs repair generally my husband or son in law will take care of it but if I needed more than they could handle or if they didn't have time I would go back to Jiffy Lube without hesitation,Convenient,
163,"I typically only get oil changes as Jiffy Lube, I have another mechanic that I use for other maintenance",Other,
164,Definitely I like the service,Good customer service,
165,Very professional!,Professional,
166,Service recieved,Good customer service,
167,Service people are very courteous and fast,Courtesy,
168,Good checks and notification of deficiencies,Good customer service,
169,I've used Jiffy Lube for many years and have always been satisfied with the service I received,Good customer service,
170,I appreciated that something that I've gone to mechanics for in the last yr and not been resolved was fixed during my oil Change,Good customer service,
171,The prices,Fair price,
172,"Prompt, answered all questions, politeness",Knowledgeable employees,
173,Excellent service,Good customer service,
174,Very good customer service at this location,Good customer service,
175,I think of Jiffy lube for Oil Changes,Have equipment needed,
176,Made a mistake on oil weight and promptly corrected their mistake,Other,
177,OVERALL GREETING AT REGISTER WHEN WALKED IN,Courtesy,
178,Great services,Good customer service,
179,Because Aj and the others guys always exceed expectations !,Good customer service,
180,the manager by the name of Kevin was very pleasant and nice,Good customer service,
181,"Friendly staff, no high pressure sales",Friendly,
182,I'm recognized as a regular customer even when I drive a different vehicle,Good customer service,
183,Depends what kind of service I will need for my car,Other,
184,Very fast and courteous employees!,Fast/Quick/Speedy/Timely,Courtesy
185,Not sure if jiffy lube would be the best price for whatever work I might need done,Fair price,
186,Great customer service!!!,Good customer service,
187,They were friendly professional and fast,Friendly,Professional
188,Very friendly and fast service!!!,Friendly,
189,customer service is top notch,Good customer service,
190,Staff was excellent and very nice,Good customer service,Friendly
191,Good experience,Good customer service,
192,"Fast,efficient",Fast/Quick/Speedy/Timely,
193,Staff is extremely professional everytime I go  (Merritt Blvd location),Professional,
194,If I have a coupon,Discounts/Coupons,
195,Excellent service,Good customer service,
196,Prompt service,Fast/Quick/Speedy/Timely,
197,Great,Good customer service,
198,Everyone I interacted with was helpful and pleasant,Friendly,
199,Very good,Good customer service,
200,"Friendly , fast and always do great work",Friendly,
201,Very friendly & quick service!!!,Friendly,Fast/Quick/Speedy/Timely
202,I have a friend that is my mechanic for anything beyond an oil change,Friendly,
203,I told what I wanted it got done and had me out in a good time,Fast/Quick/Speedy/Timely,
204,HAD MY OIL CHANGED AND TRANSMISSION FLUID CHANGED TOOK LESS TIME THEN THEY TOLD ME HAD GREAT EXPERIANCE WILL BE BACK AGAIN THANK YOU,Fast/Quick/Speedy/Timely,
205,quick,Fast/Quick/Speedy/Timely,
206,It depends upon what is needed - I may go to the dealer or a mechanic friend,Friendly,
207,I usually only go for an oil change,Have equipment needed,
208,Customer service is great,Good customer service,
209,good customer service,Good customer service,
210,"I appreciated that the team looked beyond the service I was there for (oil change and tire rotation), and discovered a problem with my brake pads and rotors",Knowledgeable employees,
211,Fast service and very nice staff,Good customer service,Fast/Quick/Speedy/Timely
212,Very friendly and very efficent,Friendly,
213,Extremely friendly and quick service,Friendly,Fast/Quick/Speedy/Timely
214,This annapolis location is the best jiffy lube ive ever visited,Good customer service,
215,Love the management Ricci is always so friendly and welcomkng,Friendly,
216,Customer service is outstanding aAnnapolis Jiffy Lube!,Good customer service,
217,convenient and quick,Convenient,Fast/Quick/Speedy/Timely
218,Had excellent service and information,Good customer service,Knowledgeable employees
219,"Great, efficient service",Good customer service,
220,Everyone  from start to finish  were so helpful,Good customer service,
221,I was treated like a customer should be,Good customer service,
222,The follow-up service is a plus draw,Good customer service,
223,"good service, friendly and knowledgeable people, on time delivery",Good customer service,Friendly
224,Fast service,Fast/Quick/Speedy/Timely,
225,"Very nice, very quick",Fast/Quick/Speedy/Timely,
226,Quick and close to my job,Fast/Quick/Speedy/Timely,Close to home
227,Happy with basic services but unsure about other services,Good customer service,
228,FAST service!,Fast/Quick/Speedy/Timely,
229,Good service,Good customer service,
230,"Price of suggested services during my recent visit where higher than at my regular mechanic, but there is the convenience factor to consider",Convenient,
231,alway's professional and courteous prompt,Professional,Courtesy
232,Very professional service,Professional,
233,Courteous,Courtesy,
234,They stand behind their work and correct their mistakes,Good customer service,
235,Best jiffy lube I've ever been too,Good customer service,
236,The staff was very knowledgeable,Knowledgeable employees,
237,Fastest service I ever had at a Jiffy Lube Center,Fast/Quick/Speedy/Timely,
238,I  trust the crew at the Annapolis Jiffy Lube,Trustworthy,
239,Great customer service,Good customer service,
240,Reasonable prices,Fair price,
241,"Friendly greeting, in quickly, review of service required by manufacturer",Friendly,Fast/Quick/Speedy/Timely
242,"My experience was exceptional, my brother is a mechanic that is the only reason I say probably over definitely",Good customer service,
243,There was an employee Alex Camacho that did a very good job with assisting me and getting me what I needed,Knowledgeable employees,
244,Great,Good customer service,
245,Depending on price and my available coupons,Fair price,Discounts/Coupons
246,I will return,Other,
247,courtesy of employees and 7 years of trouble free mileage with my car,Courtesy,
248,They know me,Knowledgeable employees,
249,Great customer service by all staff,Good customer service,
250,timely manner in which my car was serviced,Fast/Quick/Speedy/Timely,
251,The staff was courteous and efficient and worked fast,Courtesy,
252,Convenient friendly service,Friendly,
253,"The employees are polite, friendly and genuine",Friendly,
254,The easy of getting in and out,Fast/Quick/Speedy/Timely,
255,The team was awesome,Good customer service,
256,Quick service cheap prices,Fast/Quick/Speedy/Timely,Fair price
257,"My vehicle is 10 yrs old and Jiffy Lube has always been servicing it, except for tires and brakes",Good customer service,
258,The oil change service was super fast,Fast/Quick/Speedy/Timely,
259,I know I can get in and out on my lunch break,Fast/Quick/Speedy/Timely,
260,The workers were all very polite and informative,Courtesy,Knowledgeable employees
261,The people were very nice and detailed about my vehicle,Friendly,Knowledgeable employees
262,"The staff are always very friendly , helpful thorough",Friendly,
263,"Friendly, efficient service",Friendly,
264,Great service,Good customer service,
265,"My local Jiffy Lube always delivers excellent service, quickly",Good customer service,Fast/Quick/Speedy/Timely
266,In and out everytime,Fast/Quick/Speedy/Timely,
267,The prompt efficient service,Fast/Quick/Speedy/Timely,
268,"Efficient, courteous, not pushy",Good customer service,Courtesy
269,"I have been very happy with my Jiffy Lube experiences, John, the manager, pays close attention to what is being done and to the history of services on my truck",Good customer service,
270,Depends if they can do the work at my location,Convenient,
271,Professional and great service!!,Professional,
272,"Staff is always friendly, knowledgable, professional, and efficient",Friendly,Professional
273,"The oil changes are generally fairly quick, but the times I have had other routine maintenance done it seems to take a while to get it done",Fast/Quick/Speedy/Timely,
274,"Friendly staff, quick and efficient service!",Friendly,Fast/Quick/Speedy/Timely
275,"always get great, friendly, pressure-free service",Friendly,
276,I have to say I really liked the guy that walked me thru the service,Knowledgeable employees,
277,Tech used instrument to reset my air pressure gauge so light would go off,Knowledgeable employees,
278,Great customer service,Good customer service,
279,Everyone was really nice it was easy and fast,Fast/Quick/Speedy/Timely,Friendly
280,Prompt and courteous service,Fast/Quick/Speedy/Timely,Courtesy
281,"Attendees were warm, friendly, and quick",Friendly,Fast/Quick/Speedy/Timely
282,"Well, I haven't fully committed because one of the specialist wasn't the friendliest",Friendly,
283,"Polite staff, fast service",Courtesy,Fast/Quick/Speedy/Timely
284,Customer Service,Good customer service,
285,Customer service was excellent,Good customer service,
286,The customer service and promptness of my visit,Good customer service,
287,The customer service,Good customer service,
288,The courteous service I received,Courtesy,
289,Very Nice guys there,Friendly,
290,The workers were friendly and prompt,Friendly,
291,It depends on the cost,Cost,
292,I like the recommended service given by the staff,Good customer service,
293,Good fast service,Good customer service,Fast/Quick/Speedy/Timely
294,I like the reliability of the service provided,Trustworthy,
295,Cost,Cost,
296,Depends on what kind of maintenance needed and current location,Convenient,
297,Yes,Other,
298,Quality service,Good customer service,
299,Trusted the team to be fair and accurate with systems in place to assure what is needed is needed,Trustworthy,
300,Convenient and reliable for me,Convenient,
301,Mechanics were very personable and knowledgeable,Professional,Knowledgeable employees
302,I enjoyed the time and attention to detail that the techs provided,Fast/Quick/Speedy/Timely,Knowledgeable employees
303,Convenience,Convenient,
304,Prompt service,Fast/Quick/Speedy/Timely,
305,Because I am sure about it,Trustworthy,
306,Yes,Other,
307,Great customer service,Good customer service,
308,Service men where detailed,Knowledgeable employees,
309,Jiffy Lube seems like it's a good place to have an oil change - I don't know how qualified their technicians are to perform other tasks,Have equipment needed,
310,Staff was very professional and took the time to go through all recommend points of attention pertaining to our vehicle,Professional,
311,efficient,Fast/Quick/Speedy/Timely,
312,Covience and efficient,Convenient,
313,The workers,Good customer service,
314,they give good customer service,Good customer service,
315,Good place and good people,Good customer service,
316,"Everyone is always nice and friendly, and the service is always great and fast!  I continue to drive out of my way to go there because I have such good experiences every time I go",Friendly,
317,Staff was great,Good customer service,
318,I got in right away w/ out appt,Fast/Quick/Speedy/Timely,
319,Service where great,Good customer service,
320,Super efficient,Good customer service,
321,The staff are always friendly and informative,Friendly,
322,"I have always been treated well, my questions are answered and my truck is taken care of as well",Good customer service,
323,Friendly and courteous service,Friendly,Courtesy
324,"For small maintenance, filters, wipers,changing fluids yes",Good customer service,
325,Quick and efficient,Fast/Quick/Speedy/Timely,
326,fast performance,Fast/Quick/Speedy/Timely,
327,Value for the service provided,Value,
328,Good customer service !,Good customer service,
329,great service,Good customer service,
330,Service was quick,Fast/Quick/Speedy/Timely,
331,They were and friendly,Friendly,
332,Love the coupons also the service was so fast,Discounts/Coupons,
333,The mechanics are always so nice and helpful,Courtesy,Friendly
334,It was quick,Fast/Quick/Speedy/Timely,
335,Went during slow time so instead of a  couple workers changing my oil while others relaxed they  instead ALL did the work together and therefore I was in and out super quick,Fast/Quick/Speedy/Timely,
336,I SAW WORK BAY- WELL EQUIPTED!,Have equipment needed,
337,The employees were friendly and knowledgable,Friendly,
338,I like the timely manner that I can get in and out with good quality of work,Good customer service,Fast/Quick/Speedy/Timely
339,Great service,Good customer service,
340,I will probably return for new filter that was shown to me at this visit,Have equipment needed,
341,"I have a mechanic, but I usually can't wait get an appointment right on the spot like at jiffy lube",Fast/Quick/Speedy/Timely,
342,Fast efficient service,Fast/Quick/Speedy/Timely,
343,prompt and courteous service,Fast/Quick/Speedy/Timely,Courtesy
344,Courtious and efficient service,Courtesy,Fast/Quick/Speedy/Timely
345,Fast and efficient service,Courtesy,Fast/Quick/Speedy/Timely
346,Great service,Good customer service,
347,Professional,Professional,
348,People were very prompt efficient and polite,Fast/Quick/Speedy/Timely,Knowledgeable employees
349,Courtesy provided,Courtesy,
350,The staff was very friendly and personable,Friendly,
351,Distance from home,Close to home,
352,Great courteous staff,Courtesy,
353,Very friendly,Friendly,
354,Unaware of other services,Other,
355,I have been a customer for 6 years,Good customer service,
356,Quick and nice!,Fast/Quick/Speedy/Timely,
357,"Quick, professional and reliable service",Fast/Quick/Speedy/Timely,Professional
358,"Convenience, great staff",Convenient,Good customer service
359,Jiffylube keeps a record of the sevices my vehicle has had and the services it needs to have,Good customer service,
360,Everyone was very polite and helpful,Courtesy,Professional
361,"Accuracy, quickness, and pricing",Good customer service,Fast/Quick/Speedy/Timely
362,"The staff was awesome, from the persons that greeted me when i pulled up outside to the machanic who gave me my car summary to the service associate who took my payment at the front desk",Courtesy,Good customer service
363,Everyone at this location were especially friendly,Friendly,
364,I like how its affordable and the agent didn't try to sell me unnecessary services,Professional,Fair price
365,Don't believe in going to different places to have my car maintenanced,Good customer service,
366,Speedy and excellent customer service,Fast/Quick/Speedy/Timely,Good customer service
367,Quick service; informative; friendly staff,Fast/Quick/Speedy/Timely,Friendly
368,Brakes,Other,
369,"Jiffy Lube service team/staff are always attentive, informative and thorough in the service delivery",Good customer service,Knowledgeable employees
370,"Handled promptly with great care,customer services was excellent",Good customer service,Knowledgeable employees
371,It depends on if Jiffy Lube covers the service that my vehicle needs,Convenient,
372,Great customer service,Good customer service,
373,location,Convenient,
374,"I am always notified about my needed services, I don't have to worry about things in my car going wrong and not given information about what I should do to rectify the problem",Professional,
375,Courtesy of the staff!!!,Courtesy,
376,"The service was great very friendly crew, quickly completed the service and seemed to have valued my time",Friendly,Fast/Quick/Speedy/Timely
377,Yes,Other,
378,Professionalism and personable interaction,Professional,
379,"They always take care of my car and help me keep take care of my car,every one is always polite,i will continue to come to jiffy lube where I feel comfortable,thank you jiffy lube",Good customer service,
380,Technicians were very professional and expeditious with the service,Professional,
381,You guys can service my vehicles cheaper than I can,Fair price,
382,Professionalism,Professional,
383,fast service,Fast/Quick/Speedy/Timely,
384,"Quick, simple and easy",Fast/Quick/Speedy/Timely,
385,The customer service was excellent!,Good customer service,
386,Friendly staff and the Manager there is always on point with His experience mindset on my Car,Friendly,
387,The Service was good,Good customer service,
388,The professional service and time it was done in,Professional,
389,I  have been coming to jiffy lube for many years and have consistently received top notch service,Good customer service,
390,"Great customer service, speedy maintenance, & explanation of services",Good customer service,Fast/Quick/Speedy/Timely
391,Was told will top off fluids and vacuum and check tire pressure,Knowledgeable employees,
392,"Quick, easy, and everything was relatively cheap",Fast/Quick/Speedy/Timely,
393,Price around,Fair price,
394,I love that they can give me a print out of everything I have had done at Jiffy Lube,Good customer service,Responsible
395,great service hardly no wait time,Good customer service,Fast/Quick/Speedy/Timely
396,Dependable & fast,Fast/Quick/Speedy/Timely,Trustworthy
397,Excellent service and fast,Good customer service,Fast/Quick/Speedy/Timely
398,I have been coming to Jiffy Lube for about a year now,Other,
399,I received outstanding service in every way,Good customer service,
400,Air filter windshield repair,Have equipment needed,
401,Your team is so friendly and wonderful!,Friendly,
402,"People was very nice, service was quick",Fast/Quick/Speedy/Timely,
403,Great customer service and everything was done as requested and expected,Good customer service,
404,I appreciate their friendliness and honesty,Friendly,
405,the staff was nice,Friendly,
406,Friendly and prompt service,Friendly,
407,Fast friendly service,Friendly,
408,The attitudes of all the employees I encountered was great,Courtesy,
409,Convenance and quality of service,Convenient,Good customer service
410,price,Fair price,
411,they were friendly & efficient,Friendly,
412,Good service,Good customer service,
413,Convenience,Convenient,
414,Fast service and the associates were nice,Fast/Quick/Speedy/Timely,Friendly
415,Convience and time effective,Convenient,Fast/Quick/Speedy/Timely
416,The customer service interaction was just wonderful! They've found a longtime customer here! Keep up the great work guys!,Good customer service,
417,I like the work they do,Good customer service,
418,Good service,Good customer service,
419,Cooperative and knowledgable staff,Professional,Knowledgeable employees
420,Manager Eric Roda backs up his work and is no lazy ass,Good customer service,Professional
421,It all depends on what needs to be done,Convenient,
422,Prompt and complete service,Good customer service,Fast/Quick/Speedy/Timely
423,Price,Fair price,
424,Service,Good customer service,
425,"The employees were great at helping me understand any potential issues with my vehicle, and the customer service in general was wonderful!",Good customer service,
426,The staff,Courtesy,
427,I love Jiffy Lube! They always get the job done! They are so friendly opening the door for me and my family and servicing me in a timely manner,Friendly,
428,"VERY nice, polite, friendly crew",Friendly,
429,The gentleman was very polite and kind when I came in and was running late in the afternoon,Courtesy,
430,"Fast,  efficient service",Fast/Quick/Speedy/Timely,
431,Guys were fast very nice and professional,Fast/Quick/Speedy/Timely,Professional
432,Nice people fast service,Fast/Quick/Speedy/Timely,Friendly
433,Was told the dip stick was stuck and could not be removed to check oil level prior to service,Knowledgeable employees,
434,"Quality, timeliness (I mean 12 minutes), care, and kindness",Good customer service,Fast/Quick/Speedy/Timely
435,I have been using Jiffy Lube for years and all my vehicles have had no major repairs,Good customer service,
436,"Fast, convenient",Fast/Quick/Speedy/Timely,Convenient
437,Everyone was friendly and the service was quick,Friendly,Fast/Quick/Speedy/Timely
438,Friendly efficient staff,Friendly,
439,Always get quick and professional service,Fast/Quick/Speedy/Timely,
440,"personalized service, technicians very courteous and not to mention, completed in a very short time frame",Courtesy,Fast/Quick/Speedy/Timely
441,Great service,Good customer service,
442,I felt Larry was honest about what I needed and what I didn't need,Trustworthy,
443,Prompt and courteous service,Fast/Quick/Speedy/Timely,Courtesy
444,Extremely PROFESSIONAL! knowledgable and pleasant!,Professional,
445,Quick service and explanation of service,Fast/Quick/Speedy/Timely,
446,"Friendly staff, quality service",Friendly,
447,Just didn't feel like a valued customer,Good customer service,
448,Reputation and commitment to customers,Good customer service,
449,I like that the service man did not push me to authorize extra car maintenance's jobs,Professional,
450,Courteous and speedy service,Courtesy,Fast/Quick/Speedy/Timely
451,I like the convenience of no appointment quick in and out!,Fast/Quick/Speedy/Timely,
452,"quick, professional, great value, and I leave knowing my car got what it needed without wasting money",Fast/Quick/Speedy/Timely,Professional
453,I am new to the area and haven't had the chance to see the competitors,Convenient,
454,Very kind staff,Professional,
455,The service that goes beyond an oil change,Good customer service,
456,Good service,Good customer service,
457,"very fast, cheap, friendly",Friendly,
458,The hot guys number #1 and the service is always fast n the quality of work,Good customer service,Fast/Quick/Speedy/Timely
459,"The staff was friendly and knowledgeable, they were just great",Friendly,Knowledgeable employees
460,Good service and prices and small waiting time,Good customer service,Fair price
461,Price and convience,Fair price,
462,Quick courteous service,Fast/Quick/Speedy/Timely,Courtesy
463,Fast service no appt necessary,Fast/Quick/Speedy/Timely,
464,Price,Fair price,
465,Depends on if there are any sales/coupons for work needed,Discounts/Coupons,
466,convenience and speed,Convenient,Fast/Quick/Speedy/Timely
467,I was very I satisfied that the last time I was there after visiting several times prior I was finally told about the Top Off deal Jiffy Lube offers,Discounts/Coupons,
468,Quickness of service and price,Fast/Quick/Speedy/Timely,
469,"speed,kindness",Fast/Quick/Speedy/Timely,
470,Fast and friendly service,Friendly,
471,"Friendly, honest service",Friendly,
472,Always quick and job is done well,Fast/Quick/Speedy/Timely,
473,I enjoy the prompt and courteous treatment by your knowledgeable staff,Knowledgeable employees,Courtesy
474,the speed and quality of the service,Fast/Quick/Speedy/Timely,
475,"Overall Customer Service, from start to finish",Good customer service,
476,"They were very quick friendly, quick and did a great job",Friendly,
477,Everyone is professional and friendly,Professional,Friendly
478,price,Fair price,
479,Great work and fast,Good customer service,Fast/Quick/Speedy/Timely
480,The staff was efficient and courteous,Good customer service,Courtesy
481,Excellent customer service and prompt service,Good customer service,
482,Will return for oil changes,Have equipment needed,
483,Depends on the service in question,Convenient,
484,Convenience,Convenient,
485,"Great value & convenience, plus services well performed",Value,
486,Fast service and reasonable price,Fast/Quick/Speedy/Timely,Fair price
487,Depends on the specific service needed,Good customer service,
488,Great customer service & short wait time,Good customer service,
489,Clean and courteous keeps me coming back,Courtesy,Good customer service
490,Some things,Other,
491,I'll return just at a different time because it was very crowded so my wait took a little longer than expected,Close to home,Convenient
492,The customer service,Good customer service,
493,Good customer service,Good customer service,
494,Great customer service,Good customer service,
495,The person who helped and reviewed my cars analysis was very thorough and helpful,Knowledgeable employees,
496,I usually just get oil changes and small things done at Jiffy Lube due to convienence I have a mechanic for all other things,Convenient,
497,tire check,Other,
498,Staff was knowledgeable and very courteous,Knowledgeable employees,Courtesy
499,"Great service, staff very helpful and I just appreciate the attention to detail",Good customer service,Knowledgeable employees
500,"Friendly greeting, coffee,  tv :-)",Friendly,
501,Theirron friendly and professional,Friendly,Professional
502,Manners the employees use even as simply holding a door for each customer sure don't see that anymore good job,Good customer service,
503,The service was quick and excellent,Fast/Quick/Speedy/Timely,
504,From the greeting to my departing from jiffy lube,Good customer service,
505,The pp were so nice!!!!,Good customer service,
506,Good fast service,Good customer service,Fast/Quick/Speedy/Timely
