,index,Review,Label
47,"I like their convenience, but if I have my vehicle in to our mechanic at the time an oil",Competition-prefer local mechanic,
48,Never had an issue with my car when I get an oil change there I don't come here often because it's more expensive but I like jiffy lube,Price too high,
49,They failed to check my turn signal indicator,Oil service light not reset ,
50,Oil change over price,Price too high,
51,Warranty with manufacturer,Competition-prefer dealer,
52,Wanted to do tire rotation along wit oil change,Tire rotation service issue,
53,I arrived at 1134 for an oil change only and I left at 145 the car before me needed a part from auto zone so I had to wait for that and wait until they put the part on also I didn't get air in my tires and the windows were smeared,Poor customer service,Service took too long
54,"The person who waited on me, Dave was very rude and unfriendly",Unprofessional employees,
55,Services paid for were not completed,Other issues,
56,The men working on my cat killed my battery,Interior/Exterior car damage,
57,Have own mechanic,Competition-prefer local mechanic,
58,Very expensive,Price too high,
59,"The $4.99 charge to ""top off"" radiator fluid",Price too high,
60,I had to return because my car was leaking oil,Oil cap issue,
61,Bad service,Poor customer service,
62,I have a regular mechanic for other maintence issues,Competition-prefer local mechanic,
63,I had my oil changed there and the very next day I began to have an oil leak,Interior/Exterior car damage,
64,They claimed my tires were guaged and inside vacuumed,Tire rotation service issue,Vacuuming not done propertly
65,The verbal promise and written check list did not meet up with the actual facts,Overcharged - charged more than was agreed on,
66,"Because I am a young white college female, they took advantage and tried to sell me oil that I have never used in my truck and scam me for more money",Female felt taken advantage of,Overselling-Pressure to buy
67,Management team is very unprofessional,Unprofessional employees,
68,they charge me too much for an oil change,Price too high,
69,Prefer to go to other shops when service includes more than just an oil change,Competition-prefer other car care chain,
70,"I went to jiffy lube because the lines everywhere else were long, but I found out why",Poor customer service,
71,My filter was put in upside down and was not filtering properly,Fuel filter replacement,
72,"The service is overpriced, the work was sloppy, and when they checked my tires which were fine when I came in, I know because I have a low tire light that comes on anytime the pressure drops more then a pound, they let air out of the tires which caused the light to come on the next morning, I had to refill all of my tires because all of them  were 6-7 pounds below pressure",Price too high,Poor customer service
73,Prices,Price too high,
74,Service,Poor customer service,
75,They told me they would vacuume the floors and wash the Windows they didn't vacuume the floors in the back of the car and they didn't wash the Windows on the inside,Vacuuming not done propertly,
76,They were very busy and understaffed,Unprofessional employees,
77,Excess oil was not cleaned up,Poor customer service,
78,"I was talked into your high mileage, expensive oil change",Overselling-Pressure to buy,
79,Was told something that was not true to get me to do a service that was not needed,Misinformation about car/service needs given to customer,
80,The technician did not put my oil cap back on and oil leaked all over my engine causing $600 worth of damage at the dealership,Oil cap issue,
81,Seems like they want to sell you everything else at inflated prices,Price too high,
82,The service director was not knowledgeable and tried to be cute about not honoring the Labor Day discount,Employees not knowledgeable,Discount/coupon issue
83,Specifically my most recent experience with the SE Powell & Cesar Chavez location,Poor customer service,
84,The men were rude and got upset when I corrected him on the oil that was recommended by the manufacturer,Unprofessional employees,
85,The person that checked me in was fucking rude and condescending,Unprofessional employees,
86,I can do most maintanence by myself,Other issues,
87,"All the additional fee and playing woman with this need to be fix that need to be fix, you want to be able to trust the people working on your car at Nifty lube you cant",Untrustworthy\Mistrust,
88,The cost of your regular oil change is almost 100% more than other local competitors,Price too high,
89,Staff seemed very young and didn't seem to know what was going on,Unprofessional employees,
90,took too long,Service took too long,Service took too long
91,My visit was quoted to take 30-45 minutes by the employee who took my keys,Service took too long,
92,"Poor service, long wait for easy jobs",Poor customer service,Service took too long
93,Several things ,Poor customer service,
94,Rather not say,Poor customer service,
95,"Was asked if I wanted tires rotated, a service I receive for free elsewhere",Overcharged - charged more than was agreed on,
96,"I have been pretty consistent about getting my oil changes exclusively at JL for years because of the positive experiences, however I was completely dissatisfied this last time, it took longer than I typically spend, the environment was rude, and the cashier did not except a coupon that was sent to me via email",Service took too long,Unprofessional employees
97,"I was charge regular price, even after showing a $15 off coupon",Discount/coupon issue,
98,"With oil change service, there is a list of other things to check, wash, fill, maintain and these things were not done",Poor customer service,
99,price,Price too high,
100,Too much pressure to buy extra items/repairs,Overselling-Pressure to buy,
101,"I received the signature service oil change; however, they did not vacuum the floors or wash the windows",Vacuuming not done propertly,
102,"The service was very slow, started working on another car before finishing with my",Service took too long,Later-arriving customers served ahead of me
103,I was waiting for forty minutes (ten minutes longer than the estimated wait time given to me) and had to bug a technician to get my car moved,Service took too long,
104,"Oil change was over price, request to have the passanger side bulb to replace was unable to do so",Price too high,
105,"do a lot of my own work, so likely do other things myself",Other issues,
106,Tech was trying not to my coupon by pretending it does not have a code,Discount/coupon issue,
107,Poor service,Poor customer service,
108,Services were poor,Poor customer service,
109,"Pushing product, but mainly price",Overselling-Pressure to buy,Price too high
110,A greasy/oily scuff mark was left on my beige carpeting,Poor customer service,
111,24 hours after the oil change I was driving my car to work and it shut down,Poor customer service,
112,The amount of time it took to services my vehicle,Service took too long,
113,I feel I am overcharged for items that do not need to be replaced,Overcharged - charged more than was agreed on,
114,"Looked on line, oil change was supposed to be about, $45, but with one upgrade in oil it became, $75",Overcharged - charged more than was agreed on,
115,"My 2016 Honda CRV required 0W-50 oil which cost, apparently 50% more than conventional oil, at $53.99 for an oil change! ",Overcharged - charged more than was agreed on,
116,"We had two cars oil changed, one we are selling and the warning light was not reset",Oil service light not reset ,
117,They put a head light bulb on a BURNING pig tail,Interior/Exterior car damage,
118,Price,Price too high,
119,Oil was stained on my seat from the workers pants and was not cleaned after being told so,Interior/Exterior car damage,
120,The girl was rude when I didn't get one of the upgrades she offered,Unprofessional employees,
121,Oil hand prints on my truck,Interior/Exterior car damage,
122,Technician did not completely replace oil dipstick causing oil to spill out on engine exhaust manifold,Oil or filter not actually replaced,
123,This is the third time I have gotten my oil changed there where my check engine light has come on in the hours following my visit,Oil service light not reset ,
124,Some of the workers don't seem pleasant or approachable,Unprofessional employees,
125,"The team didnt seem like they want to be there, from the greet and the goodbye it was rushed",Unprofessional employees,
126,I felt it was very pricey even after purchasing a groupon,Price too high,
127,Didn't perform all service requested,Poor customer service,
128,Extremely slow service for just oil change,Service took too long,
129,Quick service but costly compared with local competition,Price too high,
130,"nothing, i get my oil changed elsewhere",Competition-prefer other car care chain,
131,Not to the particular location,Poor customer service,
132,Not as fast as I had hoped,Service took too long,
133,"When I received my key fob back to my vehicle, the key insert which allows me to open my doors was gone",Item missing/stolen,
134,They were inattentive and did not do the entire service but indicated on the service sheet they did,Poor customer service,
135,"I was told I needed first brakes, radiator top off, wipers and rear differential service",Misinformation about car/service needs given to customer,
136,"They did not perform certain checks that were part of the service, e",Poor customer service,
137,My car overheated on the drive home,Poor customer service,
138,"The service was very good, the price was very high",Price too high,
139,was over charged on last oil change,Overcharged - charged more than was agreed on,
140,"Lazy, untrained, less than mediocre staff",Unprofessional employees,Employees not knowledgeable
141,Not helpful at all,Poor customer service,
142,You are getting what too expensive  $47,Price too high,
143,Pricing,Price too high,
144,"The staff was very rude, and did not explain to me until I sign that I was fully aware that a car part of mine was mysteriously broken",Unprofessional employees,Interior/Exterior car damage
145,"Had to ask them to replace cover for cabin air filter, and grease mark left on driver side",Air filter ,
146,Tech spilled a considerable amount of oil down over the engine,Interior/Exterior car damage,
147,Cost of service is 2xs what I have found locally,Price too high,
148,i feel more comfortable bringing my vehicle to Honda,Competition-prefer dealer,
149,The guy vacuuming the car got an oilyleg print from his pants on my leather seat,Vacuuming not done propertly,
150,"I will not return to this particular location, which is on Reserve Street in Missoula, Montana",Poor customer service,
151,Your prices are far too high,Price too high,
152,Prices are crazy high,Price too high,
153,Smog equipment kept going down- internet- tech was short with me,Poor customer service,
154,The skid plate was not connected properly and it almost caused me to have an accident,Poor customer service,
155,"They are an oil change company so I will go there for that service, but the price seems to be pretty high",Price too high,
156,Coupon,Discount/coupon issue,
157,I had a bad experience with a person by the name of Daven or dave,Poor customer service,
158,It took over an 1hr to do a simple oil change,Service took too long,
159,Your prices are outrageous! The dealership is even way more cheaper than you,Price too high,Competition-prefer dealer
160,"They were out of anti freeze, which was the main purpose for my visit",Item out of stock,
161,The brakes weren't bled and the brake lines have air in them,Brakes services,
162,To expensive for oil change,Price too high,
163,Ok I just wanted an oil change and it was as bad as being at a dealership just tying to constantly up sale me ,Overselling-Pressure to buy,
164,They scammed me out of my money for a part that did not need to be replaced,Overcharged - charged more than was agreed on,Misinformation about car/service needs given to customer
165,I brought my car for a routine oil change and when I left my car was sounding noisy and the alignment was off,Poor customer service,
166,The cost of services compared to other companies,Price too high,
167,I was on my lunch break and told it would be about 45 minutes,Service took too long,
168,The price is high comparing to others,Price too high,
169,They acted confused when I showed them my Groupon and they put someone else's mileage sticker on my car (for next oil change),Discount/coupon issue,
170,I had money taken from my center console,Item missing/stolen,
171,loyalty to my mechanic,Competition-prefer local mechanic,
172,I had a coupon and the computer wouldn't honor it,Discount/coupon issue,
173,Attitude,Unprofessional employees,
174,People were rude,Unprofessional employees,
175,My coupon was not honored to its full effect of cost and the technician was quite rude tried to push services that my vehicle did not need,Discount/coupon issue,Unprofessional employees
176,The cost of a basic oil change went up approximately 20.00 since last time I had it done,Price too high,
177,I came in for service towards the end of the workday and the tech refused to vacuum my vehicle saying that I got there too late in the day for him to do that,Vacuuming not done propertly,
178,The staff just seems really rough and strung out on drugs,Unprofessional employees,
179,I am unsure that my dealership will honor warranties if I do not use their service dept,Competition-prefer dealer,
180,I have a mechanic I trust in my neighborhood who owns the garage,Competition-prefer local mechanic,
181,"While the service rep (Erik) was very helpful and nice, the location did not have an oil filter for my car",Item out of stock,
182,I went for an oil change and left with ZERO transmission fluid,"Fluids not topped off (ie engine coolant, washer fluid)",
183,I paid 99.00 for an oil change for my bmw,Price too high,
184,"The service was bad, I left the walnut creek jiffy lube with the engine check light on",Poor customer service,
185,The wait was over an hour with one car in front of mine on the lane,Service took too long,
186,They added too much oil,Other issues,
187,Everyone came in late and it took over 50 min for just a oil change,Service took too long,
188,"The garage staff did not screw the engine oil cap on properly, I had oil splatter under the hood while driving home",Oil cap issue,
189,Horrible customer service,Poor customer service,
190,I had to wait so long,Service took too long,
191,Pricing,Price too high,
192,"Even though I enjoyed the customer service while getting my oil change done, something ended up being wrong with my car when I left",Poor customer service,
193,Always hard selling everything besides oil change,Overselling-Pressure to buy,
194,They charged me $115!!!!!!! I've never paid over $40,Price too high,
195,There were two technicians and no other customers,Service took too long,
196,Got a tire rotation and they only did one side of the car had to go back and tell them the didnt rotate the passenger side,Tire rotation service issue,
197,Great service-exorbitant price,Price too high,
198,Expensive,Price too high,
199,Air filter wasn't installed right and had to go back the next day to get it fixed and it cost me $82,Air filter ,
200,It took 90 minutes,Service took too long,
201,It is by far the most expensive oil change option out there,Price too high,
202,"Did not reset oil gage also did not clean outside Windows as said they did, did not refill washer fluid, and did not vacuum as said",Oil service light not reset ,"Fluids not topped off (ie engine coolant, washer fluid)"
203,Service time was longer than I was used to and they tried to get me to buy unnecessary things,Service took too long,Overselling-Pressure to buy
204,"First person to ""greet"" me needs to go back to customer service school !!",Poor customer service,
205,Price,Price too high,
206,"Had my oil changed, and among other items had the air pressure checked and when I drove away my low tire pressure alarm went off on all four tires",Tire rotation service issue,
207,Overpriced and long wait for being called jiffy lube,Price too high,Service took too long
208,"For a $70 oil change this location NEVER cleans the windshield, vacuum or place sticker on windshield",Vacuuming not done propertly,Window sticker -service reminder not replaced
209,Went there with working air conditioning ,Air condition service,
210,Your employees are too aggressive with selling the products literally forcing people to but what they don't even need and if the don't they have an attitude also they lie directly in you face telling you Oh your car useso this oil and I have to make a note about to cover our self incase something happens which made me feel uncomfortable thinking that they would damage my my cat purposely because I didn't want to buy expensive oil,Overselling-Pressure to buy,Untrustworthy\Mistrust
211,"Over priced, hidden charges",Price too high,Overcharged - charged more than was agreed on
212,Pricing,Price too high,
213,I paid for the service the night before i went to jiffy lube and still had to pay more money for something they said they did  but they didn't do it,Overcharged - charged more than was agreed on,
214,Way to expensive 81.00 for a synthetic oil change- said my car registered  with no oil on the receipt and I had just checked it 2 days earlier and it did- got scammed and didn't know til I looked at my receipt5,Price too high,Untrustworthy\Mistrust
215,We bought a new car that has a warranty that covers oil changes,Competition-prefer dealer,
216,I have been to this jiffy lube location twice now and the customer service is horrible,Poor customer service,
217,Service was not completed properly,Poor customer service,
218,Price was way more than I've paid in the past,Price too high,
219,Because the employee from your company mistreat to me,Unprofessional employees,
220,"nothing special, except the discount",Discount/coupon issue,
221,This is the 2nd time your personnel failed to reset the oil change indicator,Oil service light not reset ,
222,Seemingly lack of experience in the bays,Employees not knowledgeable,
223,Because your people are idiots!!! I know more about cars than they do!!,Employees not knowledgeable,
224,They left the cr with grease finger prints on door also hood and grease make on body,Interior/Exterior car damage,
225,"washer fluid was checked filled,never touched,when I upgraded to under carriage,wax,tire shine,paid for it,never got it","Fluids not topped off (ie engine coolant, washer fluid)",
226,i have a mechanic who does the other things,Competition-prefer local mechanic,
227,I went for an oil change and I felt like I was being hustled for things I did not ask them to look into,Overcharged - charged more than was agreed on,
228,Your military discount was a flat rate of $7 unless I got my tires rotated,Discount/coupon issue,
229,I get that done with my dealership,Competition-prefer dealer,
230,Lack of knowledge of what the services the shop provides,Employees not knowledgeable,
231,Did not correctly put caps back on vehicle,Oil cap issue,
232,Unhelpful staff,Unprofessional employees,
233,Prices on the high side,Price too high,
234,The price for an oil change has gotten way too high,Price too high,
235,"Didn't top off fluids like they said, didn't clean my windows made them look worst","Fluids not topped off (ie engine coolant, washer fluid)",
236,I do all my other maintenence through another place,Competition-prefer other car care chain,
237,"Every time I go in for an oil change there is always 2/3 other things the tech ""advises"" me to have repaired - becomes annoying/expensive",Overselling-Pressure to buy,Price too high
238,I brought my car to D'Ella because the coolant was so low car was overheating,Other issues,
239,It's just getting too expensive,Price too high,
240,They did not do everything they said they would,Misinformation about car/service needs given to customer,
241,I had items missing from my vehicle after the service,Item missing/stolen,
242,"They left grease on my passenger seat, grease on the dash above the glove box, grease finger prints on both doors",Interior/Exterior car damage,
243,Already have a mechanic,Competition-prefer local mechanic,
244,There are several places to get a car's oil changed within a mile or two of Jiffy Lube that are cheaper,Price too high,
245,"The workers didn't seem very confident in working on my newer vehicle, which made me nervous",Employees not knowledgeable,
246,I had my cooling system and transmission fluid changed and a plug in to a computer module that controls the shift and the speeder gear was damaged by the people working on my car,Air condition service,Interior/Exterior car damage
247,Service was excellent but I have a credit account at Firestone and I can get what I need done here,Competition-prefer other car care chain,
248,"It's 11 ay night and my car stopped on me after this ""oil change""  I have never had this problem with the people I know and trust",Untrustworthy\Mistrust,
249,After my oil change there was oil all over the underneath of the hood of my car,Interior/Exterior car damage,
250,This location lacks proper customer service,Poor customer service,
251,I have a service deal with a mechanic that works very well for me,Competition-prefer local mechanic,
252,It took forever,Service took too long,
253,The overall experience was negative,Poor customer service,
254,I plan on learning how to do it myself,Other issues,
255,"Clyde, the person who waited on me was, I'd say less than honest with me",Untrustworthy\Mistrust,
256,"When I left, I had a flat tire which I was told was not due to my services",Interior/Exterior car damage,
257,horrible experience regarding my Freon/Refrigerant refill-  line was not done properly and had to come back a couple of different times,Poor customer service,Air condition service
258,I asked to have my tires rotated,Tire rotation service issue,
259,2 hour wait,Service took too long,
260,$50 is a lot to pay for an oil change and then to have them try to upsell me,Price too high,Overselling-Pressure to buy
261,"When they brought my car out and opened the door, there was a lot of ink on the drivers seat",Interior/Exterior car damage,
262,because I use other places for repairs that are set up to conduct repair services,Competition-prefer local mechanic,
263,90 minutes,Service took too long,
264,"I liked Jiffy Lube because their service, though much more expensive then other places I have been, is very, very fast",Price too high,
265,"Was recommended to change trans fluid, yet all that got done was a flush which can do more harm than good, seeing as how the dirty trans filter stays in the vehicle","Fluids not topped off (ie engine coolant, washer fluid)",
266,Very expensive,Price too high,
267,Too damn expensive,Price too high,
268,"Went to there for a synthetic oil change, the found out it was $96 for just a oil change on a car",Price too high,
269,The up-selling was very unpleasant,Overselling-Pressure to buy,
270,I was quoted $41 for an oil change on my 2014 ram 1500,Price too high,
271,Service staff not friendly and the prices are not competitive,Price too high,
272,I took my car to the dealer to check on other issues the found the lip cap not replaced properly and some other stuff that should not have been there,Interior/Exterior car damage,
273,The oil prices went up and this jiffy lube doesn't honor the ladies day,Price too high,
274,Items were marked complete that were not even started,Overcharged - charged more than was agreed on,
275,They tell me one price and it's two times as much,Price too high,
276,They rotated tires and over torqued lug nuts,Tire rotation service issue,
277,Took such a long time to get the oil changed,Service took too long,
278,"I was very satisfied with the service, but it just depends on what exactly I need done and whether or not I have a coupon",Discount/coupon issue,
279,My car is not running the same ever since Friday ,Poor customer service,
280,Someone there broke the chair  mechanical  case in my car and when I ask what happened they said it was like that and it wasn't,Interior/Exterior car damage,
281,Too expensive,Price too high,
282,Price to high,Price too high,
283,Overpriced $10.00 plus in taxes is crazy and there was a donation added to my bill that I did not condone,Price too high,
284,The price changes,Price too high,
285,Efficient but expensive,Price too high,
286,The Young lady on the counter was not interested in the customer and tended to want to get me out rather than ask if I was happy,Unprofessional employees,
287,Never informed about the price and was given the most expensive oil without notification,Price too high,Didn't get customer prior approval to authorize work/expense
288,"While oil change was completed ok, the replacement of the cabin air filter was incompete",Air filter ,
289,"This is the second time at this store, I have received bad service and found things wrong after the fact",Poor customer service,
290,Did not have air filter in stock ,Item out of stock,
291,Staff is rude when I say I have my own air filters at home and don't want them to change mine,Unprofessional employees,
292,Expensive,Price too high,
293,Mechanic did not verbally tell me that my oil was leaking therefore by the time I arrived home the oil was completely done and had to go to servicd center to get issue fixed,Poor customer service,
294,The dip stick at the rear differential was pulled to check level and not replaced resulting in fluid leak in the engine compartment and on to the catalytic converter causing the fluid to burn and produce a large amount of smoking,Oil or filter not actually replaced,
295,The customer in front of me had their car leaking oil after the oil change was done (poor quality service) and this made the customers behind that customer wait a longer time,Poor customer service,Service took too long
296,Apparently Jiffy lube is unable to add Transmisdion Fluid to my car a 2007 Chevy Cobalt and over the last 5 or more years have stated that all of my fluids were topped off,Misinformation about car/service needs given to customer,
297,They did not hook up my air intake hose after replacing my air filter and broke the mount on the air filter cap,Interior/Exterior car damage,
298,I will take my car to the dealer,Competition-prefer dealer,
299,The price,Price too high,
300,They were pushing upgrade service other than advertised one,Overselling-Pressure to buy,
301,Way to expensive for synthetic,Price too high,
302,Didnt know there was a problem until I got home and read the notes on my invoice,Poor customer service,
303,"For the signature oil changes, they say the top off all your fluids and vacuum your vehicle - the past 2 times I have left there my fluids were not topped off - windshield washer fluid, etc my lights have popped on saying they are low - 2 days later and my car is never vacuumed when I leave there","Fluids not topped off (ie engine coolant, washer fluid)",Vacuuming not done propertly
304,Too expensive,Price too high,
305,Poor customer service,Poor customer service,
306,oil leaking from plug and frame,Oil cap issue,
307,"I got the wrong timing estimate from 3 different people, including the manager",Service took too long,
308,Wait time was longer than what is normal for competitors,Service took too long,
309,Wrong oil type out in initially,Incorrect oil type used,
310,Cost,Price too high,
311,"After leaving Jiffy Lube, neither of my headlights worked",Poor customer service,
312,"The experience from the time I got there was unfriendly, He only vacuumed on side and then I thought oil changes were 21.99 and it was double that",Vacuuming not done propertly,Price too high
313,"Promised vacuuming services were not given, and I was rushed away before I could inspect the car",Vacuuming not done propertly,
314,The jiffy lube location had dirty bathrooms,Customer lounge atmosphere,
315,my truck was leaking oil after service,Poor customer service,
316,My oil change was done sloppy to quick they always give me good service but this time they didnt explain to me when is my next oil change or applied a sticker with my mileage,Window sticker -service reminder not replaced,
317,They did not vacuum my car as they said and indicated on my work order,Vacuuming not done propertly,
318,I have another mechanic for non-routine work that I can't do myself,Competition-prefer local mechanic,
319,The cost of an oil change and tire rotation is more than double the price of a package my dealership service department offers,Competition-prefer dealer,Price too high
320,Its to expensive,Price too high,
321,"I went for Top of today, and the manager today 8/22/2016 at the New Hampshire Abe location told me that I will have to pay for the oil for Top of",Overcharged - charged more than was agreed on,
322,Terrible experience with the staff and complained to customer service which did nothing,Poor customer service,
323,Very expensive compared to other shops in the area,Price too high,
324,"Went for an oil change, they told me I need it a tire rotation which I found out later on I didn't need it, they told me they had clean windows and vacuum carpet and gave me a receipt as completed but they lied, I needed it air on two tires and I asked twice to make sure , they said all done but didn't",Misinformation about car/service needs given to customer,Vacuuming not done propertly
325,Just seemed to take a really long time for an oil change,Service took too long,
326,More expensive than other places in the area,Price too high,
327,"The person who rotated the tires on my vehicle failed to properly tighten the lug nuts on one wheel, then the person in charge failed to check his work to make sure it was done properly before releasing my vehicle to me",Tire rotation service issue,
328,"Ceiling was leaking, wait time was initially estimated at half an hour and it took over an hour for it to be completed",Service took too long,
329,"They suggested to replace a belt which was fine with me but after a little more than 2 hours later could not put new belt on, they had to put the old one back on, they did give me the belt and discount",Employees not knowledgeable,Service took too long
330,Prices,Price too high,
331,Because your sales person was very demanding,Overselling-Pressure to buy,
332,Try to sell you items you don't need before even looking at the car,Overselling-Pressure to buy,
333,The way the employees treated me from the minute I drove up,Unprofessional employees,
334,A somewhat poor attitude on the part of manager -,Unprofessional employees,
335,I had to go back after I drove all the way home because oil was leaking out of my car,Oil filter issue,
336,I was told that I needed a new battery by the technician and I told him I'd have to do it later as I didn't have the extra money at the time,Misinformation about car/service needs given to customer,
337,My husband services my vehicle for all other maintenance,Other issues,
338,I am an auto mechanic and do my own repairs,Competition-prefer local mechanic,
339,Services offered nobody clean the window no more vacuum a charge for anything extra money,Vacuuming not done propertly,Overcharged - charged more than was agreed on
340,Awful experience,Poor customer service,
341,"It was expensive, the coukdnt get my filter off and only credited me $2 for no filter",Price too high,
342,High Pressure sales of services with doubtful value,Overselling-Pressure to buy,
343,"Our car is 11 1/2 years old and has 236,000 miles on it",Other issues,
344,I am lucky enough to have a wonderful mechanic that I trust with my vehicle,Competition-prefer local mechanic,
345,"I was told all my fluids were topped off only to find that they never checked the coolant level which I specifically asked them to check due to fact I had just gotten an ""low coolant level"" warning","Fluids not topped off (ie engine coolant, washer fluid)",
346,"The prices are getting high, I may be able to get it done for less at local shops",Price too high,
347,They replaced a good radiator cap with cheap one that dosen't seal well,Oil cap issue,
348,"Took much longer than was told, then when the car was ready, had to wait another 10 minutes for someone to take my payment",Service took too long,
349,windows  was not washed and they did not vaccum the car,Vacuuming not done propertly,
350,The service was terrible,Poor customer service,
351,I was promised $10 off and didn't get it,Discount/coupon issue,
352,"First of all, I was apprehensive about going to Jiffy Lube because of some experiences of family members and now me",Poor customer service,
353,$91.00 for oil and a filter?  You got me this time but NEVER again,Price too high,
354,They pulled a computer wire and I had to take my care to the dealer to correct the problem,Interior/Exterior car damage,Competition-prefer dealer
355,The bait and switch on oil change cost,Untrustworthy\Mistrust,
356,I use the dealer,Competition-prefer dealer,
357,They said they reset the oil change button and didn't,Oil service light not reset ,
358,"As long as I pick a good time, they will get you in and out of there in a hurry",Other service issues,
359,I do my own service work so that is why I won't take my car to Jiffy Lube for the next oil change or for other service,Other issues,
360,"Was the first person in line, yet was there for about 50 minutes",Service took too long,
361,I am student and oil change here is more expensive,Price too high,
362,"They did not put the bolts back in the plastic cover under my car and on the way home it started dragging on the asphalt, which tore the plastic cover and I had to try to fix it myself while in dress clothes under my dirty car",Interior/Exterior car damage,
363,"They changed the oil however none of the ""perks"" that comes with going to jiffy lube (i",Discount/coupon issue,
364,"When a custumer ask questions ,it is because want to know what is going on with his vehicle , Nobody wants to hear that his vehicle is too old and this the reason , I could not see any oil on the stick but the worst is to hear If I do not want to hear this I have to go to other place to do an oil change , in my place there are four vehicles ",Misinformation about car/service needs given to customer,
365,Prices are higher that the dealer,Competition-prefer dealer,Price too high
366,"While doing a tire rotation, the technician broke my wheel lock key by using gun to unscrew the wheel lock instead of doing it manually",Interior/Exterior car damage,
367,I had to go back BC a defective part was put on my car when I had my oil changed,Interior/Exterior car damage,
368,Service took too long and I was not notified when my car was ready even though I was sitting in their waiting room,Service took too long,
369,PRICE,Price too high,
370,Was treated very poorly by your manager,Unprofessional employees,
371,The service took entirely too long,Service took too long,
372,Service was unacceptable,Poor customer service,
