,index,Review,Label
179,was there for over an hour,Service took too long,
180,They added services without my consent! Period!,Didn't get customer prior approval to authorize work/expense,
181,"During service, the tech broke the air inlet from the air filter to the throttle body and didn't tell me",Interior/Exterior car damage,
182,Already have places for the other things,Competition-prefer other car care chain,
183,because we have used the same mechanic for years and completely trust them and they know our cars,Competition-prefer local mechanic,
184,I would take it to the dealership,Competition-prefer other car care chain,
185,I have an excellent mechanic where I prefer to take my car,Competition-prefer local mechanic,
186,The staff upcharges,Overcharged - charged more than was agreed on,
187,Service was slow,Service took too long,
188,Prices,Price too high,
189,We have a mechanic we have used for years,Competition-prefer local mechanic,
190,I have a mechanic that does other work,Competition-prefer local mechanic,
191,The oil and filter were changed and no thing else,Other issues,
192,I felt that their customer service delivery was very poor,Poor customer service,
193,I have a mechanic I use,Competition-prefer local mechanic,
194,Staff was unprofessional,Unprofessional employees,
195,I have a brand new vehicle and will return to the dealership for any additional services,Competition-prefer other car care chain,
196,Ploy ease or unprofessional and disorganized,Unprofessional employees,
197,I bring my Honda Pilot to the dealer for larger services - as it is at 355K miles,Competition-prefer other car care chain,
198,Have mechanic that does all maintenance and repair on my car,Competition-prefer local mechanic,
199,Awful customer service experience,Poor customer service,
200,I waited 90 minutes for an oil change,Service took too long,
201,I was told that several of my fluids were low but I told the people I would take care of them,Other issues,
202,I would go to the dealer for serious maintenance to the car,Competition-prefer other car care chain,
203,Maintenance gets completed at the dealership,Competition-prefer other car care chain,
204,"Pricing just seemed very high, even to get a filter changed out",Price too high,
205,Not confident about services other than Oil and inspection,Untrustworthy\Mistrust,
206,I'm not sure what they did on my car!,Other service issues,
207,Can't afford,Price too high,
208,"well, my check engine light came on after the coolant flushing and oil change",Oil service light not reset ,
209,Too expensive,Price too high,
210,Too expensive,Price too high,
211,HAVE FAMILY SHOP,Competition-prefer local mechanic,
212,Tire light was on when I arrived and was still on when I left,Oil service light not reset ,
213,"Under Warranty, oil changes for record",Competition-prefer local mechanic,
214,For a $50! oil change ( I only received the generic oil for that price) the service was rude and my car was only partially vacuumed,Price too high,
215,"Sign read ""open bay, no wait"" but it took over an hour for an oil change",Service took too long,
216,Mechanic at home,Competition-prefer local mechanic,
217,"There wasn't much communication, I believe there was a preconceived idea about me, I learned along time ago not to do that when I was in customer service",Communication,
218,Because I can find a cheaper price somewhere else or do it on my own,Price too high,
219,I went in for an oil change and was told that both my alternator and my battery were shot and needed to be replaced for $400+,Price too high,
220,"Way too expensive $ 99 dollars for an oil change, $48 for an air filter, I can't imagine what would be to do anything else, no way never",Price too high,
221,They don't do full service,Employees not knowledgeable,
222,It was my 1st time at this location and they didn't top off or add any fluids,"Fluids not topped off (ie engine coolant, washer fluid)",
223,My car is under warranty at the place I bought it so all major service there is free,Competition-prefer other car care chain,
224,have a regular mechanic,Competition-prefer local mechanic,
225,Employees are extremely pushy about performing service that you are not there to get done,Overselling-Pressure to buy,
226,Expensive and slow service,Price too high,
227,I get my routine maintenance with someone else who I've been going to for several years,Competition-prefer local mechanic,
228,"Car was not vacuumed, Windows not cleaned, so what else did they not do that I paid for",Other service issues,
229,"It took entirely to long when I got there the lady told me I had four cars in front of me about 15 min each car, I went in for an oil change and took over 2 hrs to get to my car once they finally had my car the guy servicing had my car tilted in the bay and he wasn't sure what was being done to my car the manager told him to figure it out, to me that's horrible service I had my son with me and if I knew it was going to take that long I would have went somewhere else or came back later",Service took too long,Unprofessional employees
230,Cost,Price too high,
231,They don't have a device to reset the oil light on my VW,Oil service light not reset ,
232,I take my vehicle to the dealer for maintenance other than oil changes,Competition-prefer other car care chain,
233,"I do not trust the ""salesman"" named Sebastian",Untrustworthy\Mistrust,
234,A service tech broke my oil dipstick and didn't even say anything about it,Interior/Exterior car damage,
235,I have a mechanic I use for maintenance beyond what I can do,Competition-prefer local mechanic,
236,They were extremely slow - took nearly an hour for an oil change,Service took too long,
237,"Nothing, I prefer the dealer for services besides oil change",Competition-prefer other car care chain,
238,Horrible customer service and all around laziness of the staff,Poor customer service,
239,Price,Price too high,
240,I often do my own maintenance other than the oil change,Competition-prefer local mechanic,
241,Price too expensive,Price too high,
242,I am a single mother and I can not afford 70 for a oil change,Price too high,
243,"They didn't clean my windows nor did they vacuume the car I asked for them to check my tire pressure and I saw the man bend over and squeeze one tire with his hand as if that's checking my tires pressure , was very annoyed with the full service oil change , should be called the good enough oil change",Other service issues,
244,I don't have any indication that Jiffy Lube's employees are up to the task,Employees not knowledgeable,
245,They stripped my oil pan,Interior/Exterior car damage,
246,JL services outside of oil changes are grossly overpriced and I doubt the capability of the technicians to perform them,Price too high,
247,I went to get a oil change and transmission service it should of cost 110 then I was told it would be slightly more expensive and at the end I found out it was 220 to do it,Price too high,
248,When they took out my cabin filter it was not properly put back,Interior/Exterior car damage,
249,"The ""protective fender mats"" were covered in oil and covered both front fenders and hood with oil",Other service issues,
250,Too expensive!!!! 92$ for an oil change is crazy,Price too high,
251,I don't trust Jiffy Lube for anything beyond an oil change,Untrustworthy\Mistrust,
252,"Although convenient, products and services are very expensive",Price too high,
253,Pushy service as well as the unintelligible and hot-tempered desk clerk,Overselling-Pressure to buy,Unprofessional employees
254,"Primarily the location, not close to any Jiffy Lube locations",Location,
255,Too costly,Price too high,
256,Other local business services my vehicles for any other needs,Competition-prefer local mechanic,
257,I can find someone to do the work cheaper than Jiffy Lube,Competition-prefer local mechanic,Price too high
258,"I purchased a windshield wiper, which was overpriced to begin with, I drove away and got about five miles down the road and went to use the wiper and it flew off",Price too high,
259,The cost was almost $100 for an oil change,Price too high,
260,I use the dearler for maintenance,Competition-prefer other car care chain,
261,I have a mechanic,Competition-prefer local mechanic,
262,"The last two times I have gotten my oil changed at Jiffy Lube, the next day, my oil light began coming on",Oil service light not reset ,
263,Would rather take my vehicle to my mechanic,Competition-prefer local mechanic,
264,I do my own repairs,Competition-prefer local mechanic,
265,"I was from out of state, needed an oil change, went to Jiffy Lube and was charged $91 for oil change",Overcharged - charged more than was agreed on,
266,The technician that was looking at my car didn't do a very thorough job,Other service issues,
267,One of the mechanics cut their finger in my car and left blood on a shopping bag I had inside my car,Competition-prefer local mechanic,
268,They didn't do half of what was on the recipe,Overcharged - charged more than was agreed on,
269,It's too expencive,Price too high,
270,I leave the more complicated maintenance issues to my mechanic,Competition-prefer local mechanic,
271,I can do it myself,Competition-prefer local mechanic,
272,caused my oil get more leak,Oil filter issue,
273,My son works on my car when there is something other than an oil change,Competition-prefer local mechanic,
274,All other services are over priced,Price too high,
275,Manager at the location I went to was a total Jerk,Unprofessional employees,
276,When I was cashing out the technician said they could not accept my Jiffy Lube Car Care One credit card,Discount/coupon issue,
277,Cause I don't like the welcome and the service seem wasn't complete in timely fashion,Poor customer service,Service took too long
278,I had cash and my USB cord that hooks from my iPhone to my car stolen,Item missing/stolen,
279,"My glovebox was off the hinge, the windows were not washed and the floors weren't vacuumed",Vacuuming not done propertly,Interior/Exterior car damage
280,Constant hard upselling,Overselling-Pressure to buy,
281,"Unfortunately, my wife requested Synthetic Oil instead of the regular stuff, so we ended up paying $72.99 instead of $26",Price too high,
282,I usually work on my own vehicle,Competition-prefer local mechanic,
283,"I have a person who knows my car and he knows it well, so I always go to him",Competition-prefer local mechanic,
284,Past experiences and the fact that I do my own maintenance on my vehicle,Competition-prefer local mechanic,Other service issues
285,High prices and poor diagnosis on my vehicles,Price too high,
286,Too much time spent telling technician I didn't want extra things,Service took too long,
287,I have a new car with warranty,Competition-prefer other car care chain,
288,I have a mechanic who handles my other car needs,Competition-prefer local mechanic,
289,My tires were not inflated,Tire rotation service issue,
290,I can get it done just as well for cheaper at different places,Competition-prefer local mechanic,
291,I work  for an auto parts warehouse and do the work myself,Competition-prefer local mechanic,
292,Prices,Price too high,
293,Not confident,Employees not knowledgeable,
294,I have a mechanic that I trust and use for routine maintenance,Competition-prefer local mechanic,
295,Have a local mechanic,Competition-prefer local mechanic,
296,Services are just a little on the pricey side,Price too high,
297,I have a mechanic,Competition-prefer local mechanic,
298,Past history,Other service issues,
299,Your maintainence is too expensive & nothing I can't do myself,Price too high,
300,I have a service contract on my car for repairs and problems,Competition-prefer other car care chain,
301,Have a mechanic I trust,Competition-prefer local mechanic,
302,"It took an hour and a half for an oil change, tire rotation, and inspection",Tire rotation service issue,
303,Total disregard for my time,Service took too long,
304,"Nothing with the Team, I'm in the automotive business and will use my facility first",Competition-prefer other car care chain,
305,it seems like you force services that are not needed,Overselling-Pressure to buy,
306,I perform all my other services such as brake work and the such!,Competition-prefer local mechanic,
307,They are unable to lift my truck,Employees not knowledgeable,
308,Will go to dealer,Competition-prefer other car care chain,
309,I was taken advantage of! Walk in with a $20 groupon told me I couldn't use it while they already did my car! I was forced to pay 88$ My car wasn't even vacuumed which they claimed they did ! It was raining they wiped my back window and left smuge all over it so I can't see out of it! As well as they never checked my air pressure because later that night I had to and it was low!!!! What a scam & a rip off!!!!,Discount/coupon issue,Customer felt threatened
310,I asked them to refill my windshield washer fluid and they said they did but it was empty when I checked later that day,"Fluids not topped off (ie engine coolant, washer fluid)",
311,High prices and employees seem shifty and up to no good,Price too high,Unprofessional employees
312,I have a local mechanic that I use for other maintenance issues,Competition-prefer local mechanic,
313,"left car , was told I would be called when finished, no one called",Poor customer service,
314,"Well yesterday, cars that were in the back of me got pushed in front of me",Later-arriving customers served ahead of me,
315,"Told me I had a bad oil leak, I don't because I never have to add oil between changes",Misinformation about car/service needs given to customer,
316,It was suggested that I replace my transfer case & differential fluids,Other service issues,
317,Customer service is thr worst,Poor customer service,
318,"I dropped off my truck and asked to be called when done, that was not done",Poor customer service,
319,Probably will take care of this at my car repair place (trust them more),Untrustworthy\Mistrust,Competition-prefer local mechanic
320,I use a garage mechanic for maintenance and repair,Competition-prefer local mechanic,
321,you did a tire rotation and broke one of the screws that holds the tire in place,Tire rotation service issue,
322,Inexperienced techs,Employees not knowledgeable,
323,Don't have faith in techs beyond oil change,Untrustworthy\Mistrust,
324,I have a personal mechanic I use for those services,Competition-prefer local mechanic,
325,The cost of the service is completely ridiculous,Price too high,
326,The Bedford location has been getting a little aggressive with their upsale tactics,Overselling-Pressure to buy,
327,Usually use my regular mechanic for anything major,Competition-prefer local mechanic,
328,Mechanic continue to up-sale on unnecessary vehicle needs,Competition-prefer local mechanic,
329,On my last visit for an oil change I was told I needed transmission flush and fill and was told it was $120,Price too high,
330,everytime i go to jiffy lube I feel the technicians are pushy,Overselling-Pressure to buy,
331,"The man in the reception, I think his name is David, was rude disrespectful & condescending",Unprofessional employees,
332,My husband's company has a mechanic who services all of our vehicles,Competition-prefer local mechanic,
333,The agent was not very pleasant,Unprofessional employees,
334,"I paid for the signature change that includes a tire rotation, car vacuum and exterior window cleaning and none of those were done",Tire rotation service issue,Other service issues
335,Poor floor management resulted in excessive waiting time,Service took too long,Unprofessional employees
336,I already have a repair shop,Competition-prefer local mechanic,
337,"I use a regular mechanic, and other resources for most of my regular maintenance",Competition-prefer local mechanic,
338,"Over priced, straight mineral oil not offered nor available",Price too high,
339,They didn't call me when my car was finished like they asked,Poor customer service,
340,I feel like every time I go for an oil change I am told there is something else that needs to be prepared,Misinformation about car/service needs given to customer,
341,I was told 30 minute wait and so I walked down the street to eat breakfast not really concerned with the time,Service took too long,
342,Customer service was awful asking questions about my car no one had answers,Poor customer service,Misinformation about car/service needs given to customer
343,Over priced for very little necessary work,Price too high,
344,Have a hybrid car & issues can require certain training,Employees not knowledgeable,
345,$96.00 for an oil change,Price too high,
346,The services that are included in oil change price were not performed,Price too high,
347,The jiffy lube I went to has gone way down hill,Other service issues,
348,I use another mechanic for things beyond oil changes,Competition-prefer local mechanic,
349,we have our own mechanic,Competition-prefer local mechanic,
350,"I take my car to my mechanic for things that you don't work on, ie: O2 sensor issues, etc",Competition-prefer local mechanic,
351,Costly,Price too high,
352,Exterior windows were not cleaned and tire pressure was not checked,Other service issues,
353,"We live in Elkton, FL",Location,
354,I am more comfortable with the mechanic we've been using for years,Competition-prefer local mechanic,
355,Misled by a coupon,Discount/coupon issue,
356,Jiffy Lube was unable to replace the headlight bulb I needed,Other service issues,
357,I do not use jiffy lube for maintenance,Competition-prefer local mechanic,
358,"I usually perform the services myself, today's visit was due to lack of time",Competition-prefer local mechanic,
359,I have a regular mechanic who does other work,Competition-prefer local mechanic,
360,When the tech checked my cabin filter he left his rag in it when he put it back in place and when I turned my A/C fan on it made a horiffic noise,Interior/Exterior car damage,
361,Price for the level of service,Price too high,
362,"Nothing about my experience, I go to someone else for maintenace",Competition-prefer local mechanic,
363,Nothing about experience - just prefer dealer since car is still under warantee,Competition-prefer other car care chain,
364,I use a trusted mechanic for services beyond oil changes,Competition-prefer local mechanic,
365,The lack of sincerity and honesty from the associates,Untrustworthy\Mistrust,
366,most major repairs and maintenance I go to the dealer,Competition-prefer other car care chain,
367,The customer service was very poor,Poor customer service,
368,I do other things myself,Competition-prefer local mechanic,
369,Took forever even though when I arrived there was no one else there,Service took too long,
370,I was being charged for something I didn't need,Overcharged - charged more than was agreed on,
371,I prefer to go to my regular mechanic for any other work,Competition-prefer local mechanic,
372,"While replacing wiper blades, the tech cracked my windshield",Interior/Exterior car damage,
373,I don't believe in adding things to a bill that is not requested,Overcharged - charged more than was agreed on,
374,My car ran perfect when I brought it in,Other issues,
375,I have a mechanic,Competition-prefer local mechanic,
376,"They checked off that they did things and they did not vacuum, wash wondows,  power steering level low as was antifreeze",Overcharged - charged more than was agreed on,Vacuuming not done propertly
377,Led to believe car needed synthetic oil when it only requires conventional,Misinformation about car/service needs given to customer,
378,Untrustworthy,Untrustworthy\Mistrust,
379,I have my vehicle serviced elsewhere,Competition-prefer local mechanic,
380,I have a mechanic,Competition-prefer local mechanic,
381,I always feel pressured to purchase additional services when all I want is an oil change,Overselling-Pressure to buy,
382,Your prices are not competitive w/several other repair shops that have demonstrated proficiency,Price too high,
383,I take my vehicle to the dealer for work that I don't do myself,Competition-prefer other car care chain,
384,I have regular service performed at an auto mechanic shop I have patronized for years and they know me and my car very well,Competition-prefer local mechanic,
385,They tried to sell me services I didn't need,Overselling-Pressure to buy,
386,"It was very expensive, the price of the oil change outrageous",Price too high,
387,I typically get my vehicle service at the dealership,Competition-prefer other car care chain,
388,Prices seemed a bit high,Price too high,
389,Vehicle Warranty does not permit additional maintenance by other shops,Competition-prefer other car care chain,
390,I go to another full service garage for needs beyond a oil change,Competition-prefer other car care chain,
391,"The fact that we have been a customer for many years, on the last visit I was not asked about anything that needed to be done on the vehicle and then they simply checked off declined for vacuuming and washing the windows",Didn't get customer prior approval to authorize work/expense,Vacuuming not done propertly
392,Had some coins stolen out of the dash during my vehicle inspection,Item missing/stolen,
393,The prices for parts are outrageous,Price too high,
394,Mechanic,Competition-prefer local mechanic,
395,I have my own trusted mechanic that does my repairs,Competition-prefer local mechanic,
396,The service man behaved in an arrogant manner never answered my questions clearly,Misinformation about car/service needs given to customer,
397,Everything was a little disorganized,Unprofessional employees,
398,I have issues trusting anything other than oil change,Untrustworthy\Mistrust,
399,Poorly treated by Phil when I presented a coupon,Poor customer service,Discount/coupon issue
400,Feel undo pressure to pay for additional services,Overselling-Pressure to buy,
401,You are overpriced and the staff is very inexperienced,Price too high,
402,Dealer prices are lower,Price too high,
403,The store is very understaffed,Other issues,
