,review,review header,sentiments,sentiment label
58,It took an hour to change my oil and the shop wasn't even very busy,Service took too long,0.0,Neutral
59,For othe rmaintenance I take my car to my local mechanic,Competition-prefer local mechanic,0.0,Neutral
60,THEY GAVE NO INDICATION THAT I WOULD NEED TO WAIT OVER 45 MONIUTES FOR A TIRE ROTATION,Tire rotation service issue,-0.4466,Negative
61,I have a regular mechanic,Competition-prefer local mechanic,0.0,Neutral
62,WAY overpriced,Price too high,0.0,Neutral
63,price,Price too high,0.0,Neutral
64,Basically they told me a price for the air filter change and then when I went to pay the told me it was $15 bucks more,Price too high,-0.1027,Negative
65,Differing opinions from mechanic and friends about necessity of maintenance offered,Competition-prefer local mechanic,0.4767,Positive
66,nothing i just like to use my mechanic,Competition-prefer local mechanic,-0.2755,Negative
67,Oil change was over $90.00 and I was not told until after the reps already started my oil change,Overcharged - charged more than was agreed on,0.0,Neutral
68,"I had a scratch on my right side passenger door I know it  wasn't there when I left my house because I was going out of town, and I put my bags in my car and I would have saw when I went home and came back to my car to go out of town that's when I saw the scratch",Interior/Exterior car damage,0.0,Neutral
69,I go elsewhere for routine maintenance besides oil changes so I don't get ripped off,Competition-prefer other car care chain,0.0,Neutral
70,Was told the dip stick was stuck and could not be removed to check oil level prior to service,Other service issues,-0.25,Negative
71,"I will continue to go to the Owings Mills, the location I usually go to because I was not very happy with the Columbia location",Competition-prefer other car care chain,-0.4964,Negative
72,we have a mechanic who works on our cars for other repairs,Competition-prefer local mechanic,0.0,Neutral
73,The men working on my car did not install my headlights correctly,Other service issues,0.0,Neutral
74,Just didn't feel like a valued customer,Poor customer service,-0.5448,Very Negative
75,Have a mechanic in the family,Competition-prefer local mechanic,0.0,Neutral
76,Changing your prices from 40$ for an oil change to 75$ is a complete rip off,Price too high,0.0,Neutral
77,Unprofessional staff discussing sex and curing at each other,Unprofessional employees,-0.5106,Very Negative
78,Maintenance is done by Ford under warranty maintenance done by Ford,Competition-prefer other car care chain,0.0,Neutral
79,Didn't realize how expensive an oil change is 75 for a regular oil change  with high milage,Price too high,0.0,Neutral
80,It took 90 minutes for the service,Service took too long,0.0,Neutral
81,"I use my car dealership for repairs, service other than oil changes",Competition-prefer other car care chain,0.0,Neutral
82,I got a battery replaced here and left with my entire car shaking,Interior/Exterior car damage,-0.1779,Negative
83,After 6 days of driving  I had to get another oil change after the light in my vehicle indicated that my oil needed to be changed,Oil filter issue,0.0,Neutral
84,I have a trusted mechanic,Competition-prefer local mechanic,0.4767,Positive
85,I go to the dealership for more extensive maintence,Competition-prefer other car care chain,0.0,Neutral
86,There was no other car in the shop but mine and 4 guys managed to mess up my oil change,Oil filter issue,-0.5927,Very Negative
87,They almost lost my registration card! Spent about 15-20 minutes looking for it--oops,Item missing/stolen,-0.318,Negative
88,Pricing,Price too high,0.0,Neutral
89,Bolt holding oil pan stripped previous visit  $314,Overcharged - charged more than was agreed on,0.0,Neutral
90,I go elsewhere for maintenance or do it myself,Competition-prefer local mechanic,0.0,Neutral
91,Staff seems inexperienced,Employees not knowledgeable,0.0,Neutral
92,I had asked them to look at a fuse - and they said they did not do that,Other service issues,0.0,Neutral
93,I have a private mechanic who works on my cars,Competition-prefer local mechanic,0.0,Neutral
94,"Other than oil changes, jiffy doesn't offer too many repair services",Other service issues,0.0,Neutral
95,After my initial service was completed my battery appeared to be weak and drained to the point that I could not start my car,Alignment or Battery service issues,-0.6597,Very Negative
96,Didn't think they did much more then oil changes,Other service issues,0.0,Neutral
97,I feel I was duped into buying oil that I had never used and did not want,Misinformation about car/service needs given to customer,-0.4628,Negative
98,They did the oil change wrong and oil leaked all in my engine no one called back,Incorrect oil level/quantity,-0.765,Very Negative
99,I get my other services done at a mechanic,Competition-prefer local mechanic,0.0,Neutral
100,The oil change and small repairs were done well but the man at the service window was VERY misogynistic,Unprofessional employees,0.1406,Positive
101,"When I returned straight home, went back out to my card had a very flat tire, I took the tore off took it to Firestone they said the value stem had been loosen",Interior/Exterior car damage,0.5106,Very Positive
102,"Well, I felt very pressured to buy/add on things that I deemed unnecessary for my vehicle at the time",Overselling-Pressure to buy,-0.024,Negative
103,Car is relatively new and still under warranty - any further items that need attention will be completed at the dealership,Competition-prefer other car care chain,0.0,Neutral
104,I cna do it myself,Competition-prefer local mechanic,0.0,Neutral
105,Not that great,Other service issues,-0.5096,Very Negative
106,have my own mechanic for that,Competition-prefer local mechanic,0.0,Neutral
107,Too expensive for the quality,Price too high,0.0,Neutral
108,I was displeased with the service I received I was in the shop for an hour just for a oil change and I was the only vehicle  there the technician indicated that they didn't have the necessary tools to take the oil filter off and I had to wait for it to be delivered,Service took too long,-0.4404,Negative
109,Because I simply had an oil change and had to return 2 times to get my unresolved issue taken care of,Oil filter issue,0.4939,Positive
110,The price,Price too high,0.0,Neutral
111,Window cleaning only half done,Other service issues,0.0,Neutral
112,Only because I have a regular service station I use but didn't have the time yesterday,Competition-prefer other car care chain,0.0,Neutral
113,I do not believe your staff has the expertise to do more sophisticated repairs,Employees not knowledgeable,0.5984,Very Positive
114,Had a 15% off coupon that I received through email from prior visit that was not honored,Discount/coupon issue,-0.4717,Negative
115,I don't take my cars to Jiffy Lube for anything other than oil changes,Competition-prefer other car care chain,0.0,Neutral
116,The staff was nice but it took 1 hour from when the car was pulled into the service area to when it was pulled out for a basic oil change,Service took too long,0.2263,Positive
117,Expensive,Price too high,0.0,Neutral
118,"Dirty handprints on fender, armrest and windshield",Other service issues,-0.4404,Negative
119,"Stop the hard sell of accessories, I change my own air filter, and other than my oil changes all maintenance work is done by my Ford dealership",Competition-prefer other car care chain,-0.3818,Negative
120,Not sure if Jiffy Lube has BMW parts and trained technicians,Item out of stock,-0.2411,Negative
121,Way too expensive!,Price too high,0.0,Neutral
122,I have a car mechanic I go to for other services and maintenance,Competition-prefer local mechanic,0.0,Neutral
123,Have another shop that takes care of vehicle,Competition-prefer other car care chain,0.4939,Positive
124,Did not get good service,Poor customer service,-0.3412,Negative
125,I was disappointed in the fact they said they vacuumed by car and cleaned the outside of my windows when it was obvious they did neither,Other service issues,-0.4767,Negative
126,Rude inexperienced crew,Unprofessional employees,-0.4588,Negative
127,When I got home my car was leaking oil and a gasket had been broken on the old change,Interior/Exterior car damage,-0.4767,Negative
128,I HAVE A REPAIR SHOP FOR ALL MY OTHER REPAIR NEEDS,Competition-prefer other car care chain,0.0,Neutral
129,I have a mechanic for all my other car needs but I usually come in for oil changes,Competition-prefer local mechanic,0.0,Neutral
130,I waited over an hour to get a quote for brakes and the amount was outrageous,Service took too long,-0.4588,Negative
131,I have heard negative stories about Jiffy Lube in the past,Other issues,-0.5719,Very Negative
132,Jiffy Lube is great for oil changes because they are fast and reliable but I would likely take my car to the Midas across the street for other service or repairs because they are a full service mechanic,Competition-prefer local mechanic,0.3716,Positive
133,Can get it done cheaper and with less pressure to upgrade to more services,Competition-prefer other car care chain,-0.228,Negative
134,"Came in for routine oil change prior to leaving for trip,  carpet vacuum and window cleaning are said to be done during this service",Other service issues,0.0,Neutral
135,Was forced into hugging one of the mechanics,Competition-prefer local mechanic,-0.0516,Negative
136,"They didn't vacume my car barley during my oil change, and they always try to get more money out of you for even basic oil changes",Vacuuming not done propertly,0.0,Neutral
137,The on board computer systems were not updated to reflect an oil change happened,Oil filter issue,0.0,Neutral
138,"Workers lied and told me things that I really didn't need at the moment, and expected me to pay for services checking them off without even asking me",Misinformation about car/service needs given to customer,-0.4588,Negative
139,I felt there was no leadership in the store,Poor customer service,-0.296,Negative
140,The service team got my vehicle and another vehicle mixed up,Other issues,0.0,Neutral
141,Price,Price too high,0.0,Neutral
142,I was treated horribly,Poor customer service,-0.5267,Very Negative
143,They have things listed down on my bill that havent been done,Overcharged - charged more than was agreed on,0.0,Neutral
144,I have same mechanic for over 20 years,Competition-prefer local mechanic,0.0,Neutral
145,HAVE OTHER MECHANIC,Competition-prefer local mechanic,0.0,Neutral
146,Have two mechanics in family,Competition-prefer local mechanic,0.0,Neutral
147,Have other mechanic,Competition-prefer local mechanic,0.0,Neutral
148,"father is a mechanic, but i don't bother him with oil changes",Competition-prefer local mechanic,0.3724,Positive
149,Have a great mechanic already,Competition-prefer local mechanic,0.6249,Very Positive
150,I have a mechanic that I have perform all other maintenance,Competition-prefer local mechanic,0.0,Neutral
151,"The prices are higher here than the jiffy lube in Albany, NY",Price too high,0.0,Neutral
152,I opened my glove compartment today and it slammed open,Interior/Exterior car damage,0.0,Neutral
153,I do all my major maintenance at the dealership,Competition-prefer other car care chain,0.0,Neutral
154,My tires were not inflated to the proper pressure,Other service issues,-0.296,Negative
155,Employees were unkept and rude,Unprofessional employees,-0.4588,Negative
156,Pretty grim group at this location,Unprofessional employees,-0.128,Negative
157,I have used various JL's over 3 decades and this may ne the last time I do,Other issues,0.0,Neutral
158,I use my dealer for repairs,Competition-prefer other car care chain,0.0,Neutral
159,I have a garage that I go to for other work,Competition-prefer other car care chain,0.0,Neutral
160,i don't usually go to Jiffy Lube for service,Competition-prefer other car care chain,0.0,Neutral
161,take to my mechaninc,Competition-prefer local mechanic,0.0,Neutral
162,Teach the people who to check tire pressure and how to tighten the oil plug lol,Employees not knowledgeable,0.1531,Positive
163,Have a mechanic I trust,Competition-prefer local mechanic,0.5106,Very Positive
164,anything beyond an oil change I get my son-in-law's father's shop to do,Competition-prefer local mechanic,0.0,Neutral
165,A family mechanic takes care of other maintenance or work needed,Competition-prefer local mechanic,0.4939,Positive
166,It goes to the Dealership manufacturer,Competition-prefer other car care chain,0.0,Neutral
167,The opaque pricing process leads to miscommunication and suspicion,Communication,-0.3818,Negative
168,(1) I have a mechanic that I use for all maintenance,Competition-prefer local mechanic,0.0,Neutral
169,I went there for an inspection and i failed because supposedly my struts were loose and a lug nut couldnt be taken off,Other issues,-0.6808,Very Negative
170,They charged for items after the fact,Overcharged - charged more than was agreed on,-0.2023,Negative
171,Have a regular garage we use for most things,Competition-prefer other car care chain,0.0,Neutral
172,"I go to a mechanic for that, but to Jiffy Lube for oil changes",Competition-prefer local mechanic,0.0,Neutral
173,Dealer service and parts,Competition-prefer other car care chain,0.0,Neutral
174,Have a personal mechanic,Competition-prefer local mechanic,0.0,Neutral
175,"I don't have a Jiffy Lube in my hometown (Canton, GA) and use a auto shop for my regular maintenance",Location,0.0,Neutral
176,My 1990 Saab was nearly destroyed by a service man who didn't know how to drive stick shift,Interior/Exterior car damage,-0.4939,Negative
177,Don't trust jiffy lube to do anything else besides oil changes,Untrustworthy\Mistrust,-0.4023,Negative
178,because the oil change was more then the last two times I was there also the next morning when I went to start up my car it wouldn't start,Oil filter issue,0.0,Neutral
179,was there for over an hour,Service took too long,0.0,Neutral
180,They added services without my consent! Period!,Didn't get customer prior approval to authorize work/expense,-0.3071,Negative
181,"During service, the tech broke the air inlet from the air filter to the throttle body and didn't tell me",Interior/Exterior car damage,-0.4215,Negative
182,Already have places for the other things,Competition-prefer other car care chain,0.0,Neutral
183,because we have used the same mechanic for years and completely trust them and they know our cars,Competition-prefer local mechanic,0.5563,Very Positive
184,I would take it to the dealership,Competition-prefer other car care chain,0.0,Neutral
185,I have an excellent mechanic where I prefer to take my car,Competition-prefer local mechanic,0.5719,Very Positive
186,The staff upcharges,Overcharged - charged more than was agreed on,0.0,Neutral
187,Service was slow,Service took too long,0.0,Neutral
188,Prices,Price too high,0.0,Neutral
189,We have a mechanic we have used for years,Competition-prefer local mechanic,0.0,Neutral
190,I have a mechanic that does other work,Competition-prefer local mechanic,0.0,Neutral
191,The oil and filter were changed and no thing else,Other issues,-0.296,Negative
192,I felt that their customer service delivery was very poor,Poor customer service,-0.5256,Very Negative
193,I have a mechanic I use,Competition-prefer local mechanic,0.0,Neutral
194,Staff was unprofessional,Unprofessional employees,-0.5106,Very Negative
195,I have a brand new vehicle and will return to the dealership for any additional services,Competition-prefer other car care chain,0.0,Neutral
196,Ploy ease or unprofessional and disorganized,Unprofessional employees,-0.4588,Negative
197,I bring my Honda Pilot to the dealer for larger services - as it is at 355K miles,Competition-prefer other car care chain,0.0,Neutral
198,Have mechanic that does all maintenance and repair on my car,Competition-prefer local mechanic,0.0,Neutral
199,Awful customer service experience,Poor customer service,-0.4588,Negative
200,I waited 90 minutes for an oil change,Service took too long,0.0,Neutral
201,I was told that several of my fluids were low but I told the people I would take care of them,Other issues,0.5789,Very Positive
202,I would go to the dealer for serious maintenance to the car,Competition-prefer other car care chain,-0.0772,Negative
203,Maintenance gets completed at the dealership,Competition-prefer other car care chain,0.0,Neutral
204,"Pricing just seemed very high, even to get a filter changed out",Price too high,0.0,Neutral
205,Not confident about services other than Oil and inspection,Untrustworthy\Mistrust,-0.3875,Negative
206,I'm not sure what they did on my car!,Other service issues,-0.308,Negative
207,Can't afford,Price too high,0.0,Neutral
208,"well, my check engine light came on after the coolant flushing and oil change",Oil service light not reset ,0.2732,Positive
209,Too expensive,Price too high,0.0,Neutral
210,Too expensive,Price too high,0.0,Neutral
211,HAVE FAMILY SHOP,Competition-prefer local mechanic,0.0,Neutral
212,Tire light was on when I arrived and was still on when I left,Oil service light not reset ,0.0,Neutral
213,"Under Warranty, oil changes for record",Competition-prefer local mechanic,0.0,Neutral
214,For a $50! oil change ( I only received the generic oil for that price) the service was rude and my car was only partially vacuumed,Price too high,-0.5093,Very Negative
215,"Sign read ""open bay, no wait"" but it took over an hour for an oil change",Service took too long,-0.1531,Negative
216,Mechanic at home,Competition-prefer local mechanic,0.0,Neutral
217,"There wasn't much communication, I believe there was a preconceived idea about me, I learned along time ago not to do that when I was in customer service",Communication,0.0,Neutral
218,Because I can find a cheaper price somewhere else or do it on my own,Price too high,0.0,Neutral
219,I went in for an oil change and was told that both my alternator and my battery were shot and needed to be replaced for $400+,Price too high,0.0,Neutral
220,"Way too expensive $ 99 dollars for an oil change, $48 for an air filter, I can't imagine what would be to do anything else, no way never",Price too high,-0.296,Negative
221,They don't do full service,Employees not knowledgeable,0.0,Neutral
222,It was my 1st time at this location and they didn't top off or add any fluids,"Fluids not topped off (ie engine coolant, washer fluid)",-0.1511,Negative
223,My car is under warranty at the place I bought it so all major service there is free,Competition-prefer other car care chain,0.5106,Very Positive
224,have a regular mechanic,Competition-prefer local mechanic,0.0,Neutral
225,Employees are extremely pushy about performing service that you are not there to get done,Overselling-Pressure to buy,-0.3384,Negative
226,Expensive and slow service,Price too high,0.0,Neutral
227,I get my routine maintenance with someone else who I've been going to for several years,Competition-prefer local mechanic,0.0,Neutral
228,"Car was not vacuumed, Windows not cleaned, so what else did they not do that I paid for",Other service issues,0.0,Neutral
229,"It took entirely to long when I got there the lady told me I had four cars in front of me about 15 min each car, I went in for an oil change and took over 2 hrs to get to my car once they finally had my car the guy servicing had my car tilted in the bay and he wasn't sure what was being done to my car the manager told him to figure it out, to me that's horrible service I had my son with me and if I knew it was going to take that long I would have went somewhere else or came back later",Service took too long,-0.6664,Very Negative
230,Cost,Price too high,0.0,Neutral
231,They don't have a device to reset the oil light on my VW,Oil service light not reset ,0.0,Neutral
232,I take my vehicle to the dealer for maintenance other than oil changes,Competition-prefer other car care chain,0.0,Neutral
233,"I do not trust the ""salesman"" named Sebastian",Untrustworthy\Mistrust,-0.4023,Negative
234,A service tech broke my oil dipstick and didn't even say anything about it,Interior/Exterior car damage,-0.4215,Negative
235,I have a mechanic I use for maintenance beyond what I can do,Competition-prefer local mechanic,0.0,Neutral
236,They were extremely slow - took nearly an hour for an oil change,Service took too long,0.0,Neutral
237,"Nothing, I prefer the dealer for services besides oil change",Competition-prefer other car care chain,0.0,Neutral
238,Horrible customer service and all around laziness of the staff,Poor customer service,-0.5423,Very Negative
239,Price,Price too high,0.0,Neutral
240,I often do my own maintenance other than the oil change,Competition-prefer local mechanic,0.0,Neutral
241,Price too expensive,Price too high,0.0,Neutral
242,I am a single mother and I can not afford 70 for a oil change,Price too high,0.0,Neutral
243,"They didn't clean my windows nor did they vacuume the car I asked for them to check my tire pressure and I saw the man bend over and squeeze one tire with his hand as if that's checking my tires pressure , was very annoyed with the full service oil change , should be called the good enough oil change",Other service issues,-0.3508,Negative
244,I don't have any indication that Jiffy Lube's employees are up to the task,Employees not knowledgeable,0.0,Neutral
245,They stripped my oil pan,Interior/Exterior car damage,0.0,Neutral
246,JL services outside of oil changes are grossly overpriced and I doubt the capability of the technicians to perform them,Price too high,-0.5267,Very Negative
247,I went to get a oil change and transmission service it should of cost 110 then I was told it would be slightly more expensive and at the end I found out it was 220 to do it,Price too high,0.0,Neutral
248,When they took out my cabin filter it was not properly put back,Interior/Exterior car damage,0.0,Neutral
249,"The ""protective fender mats"" were covered in oil and covered both front fenders and hood with oil",Other service issues,0.0,Neutral
250,Too expensive!!!! 92$ for an oil change is crazy,Price too high,-0.5526,Very Negative
251,I don't trust Jiffy Lube for anything beyond an oil change,Untrustworthy\Mistrust,-0.4023,Negative
252,"Although convenient, products and services are very expensive",Price too high,0.0,Neutral
253,Pushy service as well as the unintelligible and hot-tempered desk clerk,Overselling-Pressure to buy,0.0,Neutral
254,"Primarily the location, not close to any Jiffy Lube locations",Location,0.0,Neutral
255,Too costly,Price too high,-0.1027,Negative
256,Other local business services my vehicles for any other needs,Competition-prefer local mechanic,0.0,Neutral
257,I can find someone to do the work cheaper than Jiffy Lube,Competition-prefer local mechanic,0.0,Neutral
258,"I purchased a windshield wiper, which was overpriced to begin with, I drove away and got about five miles down the road and went to use the wiper and it flew off",Price too high,0.0,Neutral
259,The cost was almost $100 for an oil change,Price too high,0.0,Neutral
260,I use the dearler for maintenance,Competition-prefer other car care chain,0.0,Neutral
261,I have a mechanic,Competition-prefer local mechanic,0.0,Neutral
262,"The last two times I have gotten my oil changed at Jiffy Lube, the next day, my oil light began coming on",Oil service light not reset ,0.0,Neutral
263,Would rather take my vehicle to my mechanic,Competition-prefer local mechanic,0.0,Neutral
264,I do my own repairs,Competition-prefer local mechanic,0.0,Neutral
265,"I was from out of state, needed an oil change, went to Jiffy Lube and was charged $91 for oil change",Overcharged - charged more than was agreed on,-0.2023,Negative
266,The technician that was looking at my car didn't do a very thorough job,Other service issues,0.0,Neutral
267,One of the mechanics cut their finger in my car and left blood on a shopping bag I had inside my car,Competition-prefer local mechanic,-0.2732,Negative
268,They didn't do half of what was on the recipe,Overcharged - charged more than was agreed on,0.0,Neutral
269,It's too expencive,Price too high,0.0,Neutral
270,I leave the more complicated maintenance issues to my mechanic,Competition-prefer local mechanic,-0.0516,Negative
271,I can do it myself,Competition-prefer local mechanic,0.0,Neutral
272,caused my oil get more leak,Oil filter issue,-0.4005,Negative
273,My son works on my car when there is something other than an oil change,Competition-prefer local mechanic,0.0,Neutral
274,All other services are over priced,Price too high,0.0,Neutral
275,Manager at the location I went to was a total Jerk,Unprofessional employees,-0.34,Negative
276,When I was cashing out the technician said they could not accept my Jiffy Lube Car Care One credit card,Discount/coupon issue,0.5597,Very Positive
277,Cause I don't like the welcome and the service seem wasn't complete in timely fashion,Poor customer service,-0.5559,Very Negative
278,I had cash and my USB cord that hooks from my iPhone to my car stolen,Item missing/stolen,-0.4939,Negative
279,"My glovebox was off the hinge, the windows were not washed and the floors weren't vacuumed",Vacuuming not done propertly,0.0,Neutral
280,Constant hard upselling,Overselling-Pressure to buy,-0.1027,Negative
281,"Unfortunately, my wife requested Synthetic Oil instead of the regular stuff, so we ended up paying $72.99 instead of $26",Price too high,-0.34,Negative
282,I usually work on my own vehicle,Competition-prefer local mechanic,0.0,Neutral
283,"I have a person who knows my car and he knows it well, so I always go to him",Competition-prefer local mechanic,0.2732,Positive
284,Past experiences and the fact that I do my own maintenance on my vehicle,Competition-prefer local mechanic,0.0,Neutral
285,High prices and poor diagnosis on my vehicles,Price too high,-0.4767,Negative
286,Too much time spent telling technician I didn't want extra things,Service took too long,-0.0572,Negative
287,I have a new car with warranty,Competition-prefer other car care chain,0.0,Neutral
288,I have a mechanic who handles my other car needs,Competition-prefer local mechanic,0.0,Neutral
289,My tires were not inflated,Tire rotation service issue,0.0,Neutral
290,I can get it done just as well for cheaper at different places,Competition-prefer local mechanic,0.2732,Positive
291,I work  for an auto parts warehouse and do the work myself,Competition-prefer local mechanic,0.0,Neutral
292,Prices,Price too high,0.0,Neutral
293,Not confident,Employees not knowledgeable,-0.3875,Negative
294,I have a mechanic that I trust and use for routine maintenance,Competition-prefer local mechanic,0.5106,Very Positive
295,Have a local mechanic,Competition-prefer local mechanic,0.0,Neutral
296,Services are just a little on the pricey side,Price too high,0.0,Neutral
297,I have a mechanic,Competition-prefer local mechanic,0.0,Neutral
298,Past history,Other service issues,0.0,Neutral
299,Your maintainence is too expensive & nothing I can't do myself,Price too high,0.0,Neutral
300,I have a service contract on my car for repairs and problems,Competition-prefer other car care chain,-0.4019,Negative
301,Have a mechanic I trust,Competition-prefer local mechanic,0.5106,Very Positive
302,"It took an hour and a half for an oil change, tire rotation, and inspection",Tire rotation service issue,0.0,Neutral
303,Total disregard for my time,Service took too long,-0.2732,Negative
304,"Nothing with the Team, I'm in the automotive business and will use my facility first",Competition-prefer other car care chain,0.0,Neutral
305,it seems like you force services that are not needed,Overselling-Pressure to buy,0.3612,Positive
306,I perform all my other services such as brake work and the such!,Competition-prefer local mechanic,0.0,Neutral
307,They are unable to lift my truck,Employees not knowledgeable,0.0,Neutral
308,Will go to dealer,Competition-prefer other car care chain,0.0,Neutral
309,I asked them to refill my windshield washer fluid and they said they did but it was empty when I checked later that day,"Fluids not topped off (ie engine coolant, washer fluid)",-0.296,Negative
310,High prices and employees seem shifty and up to no good,Price too high,0.1779,Positive
311,I have a local mechanic that I use for other maintenance issues,Competition-prefer local mechanic,0.0,Neutral
312,"left car , was told I would be called when finished, no one called",Poor customer service,-0.296,Negative
313,"Well yesterday, cars that were in the back of me got pushed in front of me",Later-arriving customers served ahead of me,0.2732,Positive
314,"Told me I had a bad oil leak, I don't because I never have to add oil between changes",Misinformation about car/service needs given to customer,-0.7096,Very Negative
315,It was suggested that I replace my transfer case & differential fluids,Other service issues,0.0,Neutral
316,Customer service is thr worst,Poor customer service,-0.6249,Very Negative
317,"I dropped off my truck and asked to be called when done, that was not done",Poor customer service,0.0,Neutral
318,Probably will take care of this at my car repair place (trust them more),Untrustworthy\Mistrust,0.4939,Positive
319,I use a garage mechanic for maintenance and repair,Competition-prefer local mechanic,0.0,Neutral
320,you did a tire rotation and broke one of the screws that holds the tire in place,Tire rotation service issue,-0.5859,Very Negative
321,Inexperienced techs,Employees not knowledgeable,0.0,Neutral
322,Don't have faith in techs beyond oil change,Untrustworthy\Mistrust,-0.3252,Negative
323,I have a personal mechanic I use for those services,Competition-prefer local mechanic,0.0,Neutral
324,The cost of the service is completely ridiculous,Price too high,-0.4201,Negative
325,The Bedford location has been getting a little aggressive with their upsale tactics,Overselling-Pressure to buy,-0.079,Negative
326,Usually use my regular mechanic for anything major,Competition-prefer local mechanic,0.0,Neutral
327,Mechanic continue to up-sale on unnecessary vehicle needs,Competition-prefer local mechanic,0.0,Neutral
