"Did not vacuum, did not check tire pressure, did not fill washer fluid, question wether they even changed the oil and filter, did not change brake light that was out",Vacuuming not done propertly,Brakes services,Oil filter issue
"When I got in my car to leave after I had paid for my service, my glove box was open and hanging down and all my papers were on the seat",Interior/Exterior car damage
They broke pieces on my car  and denied it did not put clamps back down on hoses have to do any flash,Interior/Exterior car damage,Other service issues
I was told that they used synthetic oil in my car the last time I was there so they would need to continue to use synthetic oil,Incorrect oil type used
Told me 15-20 minutes to flush my brake fluid when I arrived at 5pm,Service took too long
My car was pulled out of the bay for approximately 15 minutes before anyone approached to share what was happening,Service took too long
One of the lug nuts which was perfectly fine before bringing the car in for service was noted as seized after the service was done,Interior/Exterior car damage
They let the guy underneath changing the oil walk up the stairs and drive the vehicle out covered in oil,Other issues
They tried to bamboozle me on the service on my car,Overselling-Pressure to buy
"This was with a doubt, the most unprofessional, rude, and humiliating experience I have EVER experienced at an automotive franchise",Unprofessional employees,"Harrassment/discrimination "
Bought a Groupon for signature service change and got the basic service,Discount/coupon issue
Pushy on sales all I need was an oil change,Overselling-Pressure to buy
The price is too high,Price too high
I waited 2 hours to get service! I have never waited this long for an oil change even in the busy afternoon,Service took too long
The mechanic damaged my car by not reattaching the skid plate,Interior/Exterior car damage
Third time your workers tried to cheat me in a row,Untrustworthy\Mistrust
Had a bad experience with the manager on duty regarding getting over charged,Overcharged - charged more than was agreed on
A spring popped out of the bypass when they removed my oil filter and now I have to pay to have that replaced,Interior/Exterior car damage
Cost of a synthetic oil change was almost 3 times the dealer's cost,Price too high
they are clueless mechanics,Employees not knowledgeable
You tried to get me to have a number of services done to my vehicle which were not needed,Overselling-Pressure to buy
Very high price for an oil change and the technician spilled oil on the front of my car and engine compartment,Interior/Exterior car damage,Price too high
Had a groupon and it was refused,Discount/coupon issue
I had an oil change and the oil filter was not included,Oil filter issue
I'm not confident in Jiffy Lube's employees' skill level nor customer service abilities,Employees not knowledgeable,Poor customer service
They broke stuff on my truck and would not do anything to fix,Interior/Exterior car damage
I was quoted $89,Price too high
"it took too long, and I found the practice of pushing customers for so many extra services offensive",Overselling-Pressure to buy,Service took too long
Los Alamitos location needs HELP!,Other issues
My sales person was adamant about my serpentine belt needing to be replaced ASAP,Overselling-Pressure to buy,Unprofessional employees
Very rude staff through every step of the process,Unprofessional employees
The people there were very rude and unprofessional,Unprofessional employees
"I issued a complaint via the online form but there was a complete disregard of my requests, they reset the mileage counter for services not received and vandalized my car",Untrustworthy\Mistrust
Hour and a half wait with job completion took almost 4 hours,Service took too long
Drained my oil before disclosing ridiculous price,Misinformation about car/service needs given to customer,Price too high
IService people were in a hurry to get out of my car but then too busy to wait on me,Poor customer service
Cashier did not greet me then said my coupon was rejected in the system but she would override it for me,Discount/coupon issue,Unprofessional employees
Incompetence of employees,Employees not knowledgeable
Way to expensive and everything was an upsell,Overselling-Pressure to buy,Price too high
Was lied to about the plug to my oil pan,Misinformation about car/service needs given to customer
"When I got my vehicle inspection, the tech failed to report to state, etc",Employees not knowledgeable
Low tire pressure after an oil change,Other issues
An access panel was opened and the bolts were not put in afterwards,Other issues
There have been two incidents involving my neighborhood jiffy lube,Other issues
Price,Price too high
Arrived & told 20min wait,Service took too long
The employee who drove my car into the bay brought his OPEN coffee cup with him into my car,Unprofessional employees
I will not return because the service was not worth the amount I paid for my oil change,Price too high
"The 5'8"" black bearded ""manager"" who said that he gets paid to up sell customers on other services",Overselling-Pressure to buy
"I had 2 coupons for Jiffy Lube with NO exclusions on them in the fine print, and my local (Draper, UT) Jiffy Lube refused them saying they were for ""other regions""",Discount/coupon issue
"Not economical, compared with competitors on Groupon",Competition-prefer other car care chain
My 16 year old son got taken advantage of and paid $130,Price too high,Untrustworthy\Mistrust
The price of the oil change was a lot higher than most competitors,Competition-prefer other car care chain,Price too high
Only one car in front of me getting an oil change and the entire process took over 90 minutes,Service took too long
Large amount of oil spilled on my driveway,Interior/Exterior car damage
The techs were not attentive to which car needed what,Employees not knowledgeable
Have found much better pricing elsewhere since,Competition-prefer other car care chain
The man that was in charge of my payment and information about my car was so abrasive,Unprofessional employees
"Your prices for an oil change are high, the only reason i used jiffy lube this time was because it was close and I figured it would not matter if i took it to Jiffy Lube rather than the other place i take it",Price too high
This was one of the worst experiences with my car I've ever had,Poor customer service
I usually get my oil changed for a decent price every time I go to Jiffy lube but for some reason I went in this time and they over priced it like crazy and when I asked him why so high he said they are different from other jiffy lubes and I have been to that location before and it was never high like that,Price too high
Your technicians are pushy and wanted to go through our insurance to do a repair on our windshield that they had already repaired the last time we went there,Overselling-Pressure to buy
I prefer another mechanic,Competition-prefer local mechanic
They left a pool of oil in my skid plate,Interior/Exterior car damage
Did not credit me the $10 off,Discount/coupon issue
Price,Price too high
"It took 45 minutes for my car's oil to be changed, even though there was no line in front of me",Service took too long
I requested the cheapest oil change and still ended up paying $50,Price too high
Oil was dripped on the side of the vehicle,Interior/Exterior car damage
Paid for coolant to be filled and I left with it empty,"Fluids not topped off (ie engine coolant, washer fluid)"
Expensive than the showroom service price,Price too high
Prices are high,Price too high
Price!!!!!  Last service at Chevy dealer was less and inc tire rotation,Price too high
"My iPhone holder (attached) to my car vent, which held my iPhone and gave me directions to the Jiffy Lube, was missing when I left",Item missing/stolen
"due to them using an oily rag to dry my windshield,  I had trouble removing the oil residue and I had to use dawn to remove the grease from my windshield",Other issues
Cost of service was too high,Price too high
I have always had my cars serviced at Jiffy Lube and have had the best service but my last visit did not go well,Poor customer service
I already know a good mechanic that I have been to before and trust,Competition-prefer local mechanic
too expensive,Price too high
For one they messed up my tire pressure sensor for two I asked them to check my spark plugs and they didn't and instead of admitting they forgot they blew me off,Drain plug-pan issues,Unprofessional employees
"The ""mechanics"" forgot to add oil back to our vehicle!  After a few unsuccessful attempts by the manager to ""clear"" what he thought was a ""change oil"" light, despite my telling him it was an ""oil level"" idiot light, he rev'd the engine a few times, the light flickered out & back on again, and he said the battery needed to be replaced!  We drove off & by the grace of God and my intuition we stopped at a AutoZone parts store ~2miles away","Oil service light not reset ",Misinformation about car/service needs given to customer
Cost of service for oil change is too high  $96,Price too high
Prices way too high for shitty service,Price too high
Lied about cleaning windows and vacuuming which i really didnt need done in the first place but why lie about doing it? Suggested i buy services for the vehicle that were not needed,Vacuuming not done propertly,Overselling-Pressure to buy
"I got an oil change and when I received my final paperwork it showed that my fluids were topped, Windows cleand, car vacuumed",Misinformation about car/service needs given to customer
They got oil on my white seats for the second time and then made me feel uncomfortable and like he wasn't gonna take no for an answer when he told me that I needed transmission fluid and I told him I was gonna wait because I didn't have much time that I was on my lunch break,Interior/Exterior car damage,Unprofessional employees
"Though the staff was very courteous, I  did not receive the signature service I was expecting",Poor customer service
"Don't live here and always go to my dealer ",Competition-prefer dealer
Too expensive,Price too high
We had to wait over 40 minutes to get serviced,Service took too long
It took an hour and a half and then as I was leaving they had to pull my truck back in to drain some oil out because two different guys worked on it and both added oil,Service took too long,Incorrect oil level/quantity
Employees standing around and talking while there is a line of cars waiting,Unprofessional employees
I really don't like feeling like I'm constantly having additional services and products pushed on me,Overselling-Pressure to buy
I have a mechanic that specializes in the type of car I drive,Competition-prefer local mechanic
I feel that I was being tricked in to overpaying for my oil change,Overcharged - charged more than was agreed on
It ended up costing me a lot of money,Price too high
The cost was much higher than I have payed at other places,Price too high
Overpriced compared to others in the area,Price too high
"Had 4 power steering pumps installed, and none of them fixed my steering",Misinformation about car/service needs given to customer
Too expensive!,Price too high
They tried to overcharge me,Overcharged - charged more than was agreed on
My wheel and key were full of dirty oil after the oil change,Interior/Exterior car damage
"This service took over two and a half hours, and my serviceman was sexist, patronizing, and only directly addressed my boyfriend as a decision maker (he is not, it's my car not his) My boyfriend gave no indication that he wished to be a part of the conversation, but our serviceman said -in front of me - that he wanted to talk to the man since women don't know anything about cars and can't understand his explanation",Service took too long,Female felt taken advantage of,"Harrassment/discrimination "
"was told needed wiper blades and didn't want them to get replaced ,they were just replaced and it started to rain as leaving and bolt fell out and had to go back in for them to fix  the bolt on the wiper blades",Wiper replacement issues
Take forever to be done,Service took too long
I went in for an oil change and check my air cabin filters and forgot to put them back and then I called they Lost the trays and i had to make a second trip for them to find them accidental i know but there was no compensation or anything for the 20-minute wait while they looked around for it,Oil filter issue,Service took too long
Not replacing clamp and hose that was taken off,Other issues
The worker there broke the inside handle on my driver's side door,Interior/Exterior car damage
Wanted fuelfilter changed got home and checked still had old filter new one was not installed and was charged $10 more than what the computer showed was the right price,Oil or filter not actually replaced,Overcharged - charged more than was agreed on
I hate getting asked if I want an extra $500 worth of services when I came in for only an oil change,Overselling-Pressure to buy
The technician spilled a lot of old when removing my oil filter,Interior/Exterior car damage
Oil changes are far too expensive there anymore,Price too high
My what use to be a quick oil change has turned into a 35 minute oil change,Service took too long
"First, it is always different people working there",Poor customer service
"I feel I was over charged, and the charges on the invoice are to hard to understand",Price too high
Your prices are outrageous,Price too high
"Didn't put an updated next oil change sticker in the window, plus your just too expensive !!! I can get synthetic oil for the price you charge",Window sticker -service reminder not replaced,Price too high
The tech that I wouldn't trust,Untrustworthy\Mistrust
On the high side on price for an oil change,Price too high
They serviced someone else's car before mine,Later-arriving customers served ahead of me
I asked for cheapest oil change and was told I needed this expensive oil which I had on idea,Misinformation about car/service needs given to customer
95% positive that my car window was scratched,Interior/Exterior car damage
"After taking my car to get the oil changed, something proceeded to fall off of my car as I was driving on the highway",Interior/Exterior car damage
Asked for a basic oil change and was upgraded without asking me and was charged more for it
Recommended and charged for services with over the top prices,Overcharged - charged more than was agreed on
"Service rep offered my 2016 vehicle high mileage oil, made me feel like they weren't aware of what they were selling me",Overselling-Pressure to buy
I asked for a tire rotation and they did not do one,Tire rotation service issue
Oil filter installed improperly,Oil filter issue
Too expensive,Price too high
Too expensive,Price too high
I had multiple additional charges for bringing my Volvo in for an oil change compared to when I previously brought in my Acura,Price too high
"well first I have a brand new car I'm also the first and only owner and have less the 20k miles on my vehicle they told me, my break fluid tested 4 percent and that I would need a break flush which cost $99",Overselling-Pressure to buy,Price too high
"I have been to many different places for an oil change but have never paid so much, even for synthetic oil",Price too high
"They forgot to use my Groupon, told me to try to sell it to a coworker or come back in a few months for another oil change",Discount/coupon issue
I asked for the cheapest oil change and he charged me $40 when they had a guy standing outside with a sign for $22,Overcharged - charged more than was agreed on
"After passing an employee holding a sign advertising a good price for an oil change, I was not asked what level of service I wanted when my information was taken",Poor customer service
I felt as if I was overcharged,Overcharged - charged more than was agreed on
I have a regular mechanic I take the car to whenever it needs routine maintenance,Competition-prefer local mechanic
Over priced and lied to,Overcharged - charged more than was agreed on,Untrustworthy\Mistrust
The price of the oil change is way too high,Price too high
A lot of grease on outside of my driver door and on drivers seat and door interior,Interior/Exterior car damage
"Vacuum was not completed, although invoice says it was",Vacuuming not done propertly,Incorrect invoice/vehicle info
"Price of synthetic oil doubled, What the Hell! Oil prices are down",Price too high
I had to bring my car right back after having an oil change due to my car smoking,Interior/Exterior car damage
"Mostly cost, prices are extremely to high for a lube change",Price too high
The female associate (Iracely I believe that was her name) was extremely rude,Unprofessional employees
They began service on my car then tried to charge me $75 for a routine oil change that at every other location cost less than $40,Price too high
An employee was wearing marijuana socks with shorts so it was completely visible by other customers and myself,Unprofessional employees
"Customer service was poor - the assistant manager who I was working with during the entire transaction was not friendly, did not speak clearly to me and was generally unhelpful as I was visiting this location for the first time and giving my business to a Jiffy Lube for the first time in 6 years",Unprofessional employees
There is a chronic problem with either striping the screws that hold on the undercarriage or losing the screw this has happened on three cars now,Interior/Exterior car damage
"For one, I was shocked at the price of the oil change",Price too high
Paid way too much for an oil change,Price too high
Very poor service,Poor customer service
The quality of service at the Hillsboro location has fallen dramatically in the last couple of months,Poor customer service
To expensive for a oil change,Price too high
I am upset that the $29.99 special has been discontinued,Discount/coupon issue
"Staff was unprofessional, expensive and I had to get the problem fixed again (by my mechanic) within 12 hours of jiffy lube service",Price too high,Unprofessional employees,Other issues
Charged me $20.00 more than I have ever paid for the same oil change at the same place,Price too high
The woman that handled my information was very rude,Unprofessional employees
Customer service,Poor customer service
They did not vacuum my floors like they said,Vacuuming not done propertly
Cost - much more expensive than other places for an oil change,Price too high
"No window washing, no vacuuming, and a simple oil change and air filter over one hundred dollars",Price too high
Your prices are outrageous,Price too high
Took almost 45 min,Service took too long
I was in the lobby 36 minutes before anyone said anything to me,Service took too long
"Had to wait at ""Not So Jiffy Lube"" 25 freaking minutes to get an oil change",Service took too long
The person that helped me had no idea what car I was even driving,Employees not knowledgeable
They were suppose to check all fluids and the next day I needed power steering fluid so they didn't check all fluids like I asked so it makes me think they didn't do the rest of the stuff that I asked,"Fluids not topped off (ie engine coolant, washer fluid)",Misinformation about car/service needs given to customer
They broke my light switch that control my head lights,Interior/Exterior car damage
"$88 for an oil change? WHAT A JOKE!",Price too high
I was very disappointed with the service,Poor customer service
Bad services over charges and didn't even take coupons,Discount/coupon issue,Price too high
"Prices were to high but we are leaving on vacation next week and didn't have time to look around for discounts, or specials!",Price too high
The manager? (Had on white shirt)was a weirdo made me feel uncomfortable,"Harrassment/discrimination ",Unprofessional employees
"If you stop bringing the air filter to me and offer a new one, I'll consider",Overselling-Pressure to buy
I was charged $475 for for a wheel bearing and $ 30 for a light bulb and on top of that they left my air filter out,Price too high,"Air filter "
I felt it was a bit over priced for the services I received,Price too high
"$130.00 to change oil in sons car is bullshit and way to expensive",Price too high
"The last time I was there they were not friendly and were very unprofessional ",Unprofessional employees
They tried to sell high perf oil air filter and cab filter for an extra $150,Overselling-Pressure to buy
Well I flew in on a dragon and they said I couldn't bring a dragon in the store,Other issues
"Technician told me that Subaru specified that my car should have the brake fluid replaced and the differential fluid changed, which would have cost me over $150",Price too high
No attempt was made to reconcile the frustration from having to get a window rolled up that was carelessly rolled down in spite of having window-lock on,Other issues,Unprofessional employees
I was very happy with the service but the price for a conventional oil change even with  a $8 off coupon was almost double what I normally pay,Price too high
They got oil all over my floor mats AGAIN,Interior/Exterior car damage
The staff are really rude not helpful,Unprofessional employees
"Every time I go to a jiffy lube, the service gentleman would always give me a quote, before they touch your vehicle",Price too high
"My air filter was not inspected, I went in knowing I had a front right single light out and that was over looked by this jiffy lube location","Air filter ",Poor customer service
It was WAY TOO EXPENSIVE,Price too high
I felt like they were asking to do a lot of extra work on the carto increase their profit,Overselling-Pressure to buy
Not happy with past service and way employees presented themselves,Unprofessional employees,Poor customer service
The interactions I had with employees were not very friendly and their overall demeanor suggested a lack of interest in their job,Unprofessional employees
I was almost certainly overcharged,Overcharged - charged more than was agreed on
My dealership gives me free oils changes and other maintenance checks,Competition-prefer dealer
"Ac was no longer working after visit little air flow, cabin air filter was not properly installed after being take",Air condition service,"Air filter "
Price is way too high,Price too high
Well I did love jiffy but this visit did me in the heat said manager Billy talked me out of getting my tires rotated the way I wanted then I said well I want the front moved to the back he said best where they are no need to waste money I said can't believe you just said that then I wanted a price on brakes and wanted to get my rear seal replaced had priced it on my last oil change he said well it will take to long today OMG! It was 3 pm and they weren't busy so I'm mad so they change oil only then said I'm done and I had to ask and wait on a brake quote while checking out and  when I was there in the past friendly staff quick quotes so I could get it done  and red carpet this time nothing talked me out of repairs  so I went right down rd and got my tires rotated no prob,Service took too long,Tire rotation service issue,Poor customer service
Repeatedly have experienced things that make me question the training technicians receive,Employees not knowledgeable
I just bought tires I kid said he could not get air in one of the tires cause the value stem was messed up I drove 4 miles blew out that tire !!!! That tire was 230 dollars !!!!! And I spent 350 dollars at jiffy lube,Price too high
Sales people too aggressive,Overselling-Pressure to buy
"10 miles after leaving, my car stopped running",Other issues
The price for a truck is $30 more then the competition,Price too high
Cost,Price too high
I have to go well out of my way to find a Jiffy Lube and this last experience was more negative than positive,Poor customer service
"Staff was not very friendly, they try to oversell their products",Overselling-Pressure to buy,Unprofessional employees
"I was told my light at my license plate was out and they would replace it for 12.00' I said yes, today while getting my yearly inspection that dealer told me the light was out also",Misinformation about car/service needs given to customer
Slow very rude,Unprofessional employees
An oil change should not cost $215,Price too high
The guy doing my inspection couldn't figure out where the lugnut key was on my vw,Employees not knowledgeable
They left the skid plate off and no sticker for the window had to go back,Window sticker -service reminder not replaced,Other issues
"My tire was not properly attached when I left, and I had driven away hearing loud noises along with intermittent shaking of my vehicle",Tire rotation service issue
Expensive,Price too high
Too pushy sales!  Felt like I was being manipulated,Overselling-Pressure to buy
I paid for a full service oil change and did not receive full service,Misinformation about car/service needs given to customer
